Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H06S1V001,H06S1V002,H06S1V003,H06S1V004,H06S1V005,H06S1V006,H06S1V007,H06S1V008,H06S1V009,H06S1V010,H06S1V011,H06S1V012,H06S1V013,H06S1V014,H06S1V015,H06S1V016,H06S1V017,H06S1V018,H06S1V019,H06S1V020,H06S1V021,H06S2V001,H06S2V002,H06S2V003,H06S2V004,H06S2V005,H06S2V006,H06S2V007,H06S2V008,H06S2V009,H06S2V010,H06S2V011,H06S2V012,H06S2V013,H06S2V014,H06S2V015,H06S2V016,H06S2V017,H06S2V018,H06S2V019,H06S3V001,H06S3V002,H06S3V003,H06S3V004,H06S3V005,H06S3V006,H06S3V007,H06S3V008,H06S3V009,H06S3V010,H06S3V011,H06S3V012,H06S3V013,H06S3V014,H06S3V015,H06S3V016,H06S3V017,H06S3V018,H06S3V019,H06S3V020,H06S3V021,H06S3V022,H06S3V023,H06S3V024,H06S3V025,H06S3V026,H06S3V027,H06S3V028,H06S3V029,H06S3V030,H06S3V031,H06S3V032,H06S3V033,H06S3V034,H06S3V035,H06S3V036,H06S3V037,H06S3V038,H06S3V039,H06S3V040,H06S3V041,H06S3V042,H06S3V043,H06S3V044,H06S3V045,H06S3V046,H06S4V001,H06S4V002,H06S4V003,H06S4V004,H06S4V005,H06S4V006,H06S4V007,H06S4V008,H06S4V009,H06S4V010,H06S4V011,H06S4V012,H06S4V013,H06S4V014,H06S4V015,H06S4V016,H06S4V017,H06S4V018,H06S4V019,H06S4V020,H06S4V021,H06S4V022,H06S4V023,H06S4V024,H06S4V025,H06S4V026,H06S4V027,H06S4V028,H06S4V029,H06S4V030,H06S4V031,H06S4V032,H06S4V033,H06S4V034,H06S4V035,H06S4V036
737,TORONTO EAST,Ontario,1867 - 1933,6,1887.02.22,921,43166822-035d-442b-9888-3eca5712cc37,"SMALL, John",2858,0.6179,Conservative (1867-1942),Taxing officer,Protestant,0,2,,,,,,,,,,,,,1,1,1,2,1,2,2,1,2,2,1,2,1,1,1,1,2,2,9,2,1,2,2,1,1,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,2,1,2,1,2,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,1,1,2,2
462,MONTREAL EAST,Quebec,1867 - 1892,6,1887.02.22-1888.08.04,926,436cc7cc-96bf-4cb5-91fa-62fe5b710d9e,"COURSOL, Charles Joseph",accl.,,Conservative (1867-1942),Lawyer,Fr.Catholic,1,3,,,,,,,,,,Died in office: 1888.08.04,,,2,2,2,1,2,2,9,9,2,2,1,9,9,2,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
519,OTTAWA (COUNTY OF),Quebec,,6,1887.02.22,935,43efe715-5820-420c-aa28-3a892736d9f5,"WRIGHT, Alonzo",2630,0.5958,Liberal-Conservative,Farmer,Catholic,0,6,,,,,,,,,,,,,2,2,2,1,1,2,2,1,2,2,1,2,1,2,2,2,1,1,2,2,2,1,2,1,9,2,1,2,1,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,1,2,9,2,9,9,2,9,2,2,2,1,2,9,9,9,9,9,2,9,9,9,9,2,2,2,2,2,9,9,9,9,9,2,9,1,2,9,9,1,1,1,2,9,9,9,9,9,9,2,1,2,9,9,2,9,9,9,9,9,9,9,9,9,2,2,2,1,9,9,9
189,DURHAM WEST,Ontario,1867 - 1903,6,1887.02.22,943,44706e27-27f3-4d7d-b8cd-491fd91cdb5a,"BLAKE, Hon. Edward",1847,0.5162,Liberal Party of Canada,Lawyer,Protestant,0,6,,,,,,,,,,Resignation. Elected for Durham West and for Bruce West. Chose to sit for Durham West,,,2,2,2,1,2,1,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,1,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,9,2,1,2,2,9,9,1,9,9,9,2,2,9,2,2,1,1,9,1,9,9,1,2,1,1,1
127,CHAMBLY,Quebec,1867 - 1893,6,1887.02.22,951,44d0a22c-b8bf-4240-9943-1aa2f95274ee,"PREFONTAINE, Raymond",1071,0.511,Liberal Party of Canada,Lawyer,Fr.Catholic,1,2,,,,,,,,,,,,,9,9,9,9,9,1,1,2,1,9,9,1,2,9,2,2,1,2,9,9,9,1,1,2,2,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,9,1,9,9,2,2,1,9,1,9,9,9,9,9,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,2,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
390,LEEDS SOUTH,Ontario,1867 - 1903,6,1887.02.22,989,47b47c19-8fe1-4407-b84f-9029f6aec230,"TAYLOR, George",2456,0.5463,Conservative (1867-1942),Industrialist,Protestant,0,2,,,,,,,,,,,,,1,1,1,2,1,2,2,1,2,2,1,2,1,1,2,2,2,1,1,2,1,9,2,1,1,2,1,9,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,9,1,2,2,2,1,2,1,2,1,2,2,1,2,1,2,1,1,2,1,1,2,2,1,2,9,9,2,2,2,2,9,9,2,2
793,WELLAND,Ontario,1867 - 1987,6,1887.02.22,991,47cc1c6c-5d19-401c-a29f-e895c0e6ca07,"FERGUSON, John",2622,0.5211,Conservative (1867-1942),"Contractor, farmer, physician",Protestant,0,2,,,,,,,,,,,,,2,2,2,1,9,2,2,1,9,2,1,2,1,2,9,9,9,9,2,9,9,2,2,1,1,9,1,1,9,2,9,9,9,9,2,2,2,2,2,9,9,9,9,9,9,1,9,9,9,9,1,2,2,1,2,1,2,2,2,2,9,9,9,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,2,2,1,2,1,2,1,2,2,1,9,9,2,1,9,2,2,1,2,9,1,2,9,9,2,9,9,2,1,2,2,9
551,PONTIAC,Quebec,1867 - 1947,6,1887.02.22,1031,4bd60fbf-9372-4484-a28b-fadaac44f611,"BRYSON, John",1681,0.6351,Conservative (1867-1942),"Businessman, farmer",Protestant,0,2,,,,,,,,,,,,,2,2,2,1,1,2,9,9,2,2,1,2,1,1,2,2,2,1,1,2,1,2,9,9,1,2,1,9,2,2,2,1,2,9,2,2,2,9,2,2,2,2,2,2,9,1,2,2,1,2,9,2,9,9,2,1,2,2,1,2,9,2,1,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,2,2,1,2,9,1,2,1,9,2,2,1,9,1,2,1,9,9,9,2,9,9,1,9,9,2,9,9,1,1,2,9,9,2,2,9,2,1,9,9,2
66,BRANT SOUTH,Ontario,1867 - 1903,6,1887.02.22,1033,4c0343e7-af09-409c-8b15-82597243d468,"PATERSON, William",2230,0.5739,Liberal Party of Canada,Confectioner,Protestant,0,5,,,,,,,,,,,,,2,2,2,1,2,1,1,2,1,2,1,1,2,9,2,2,1,1,9,9,9,1,1,2,2,1,2,9,2,1,1,2,1,9,1,1,1,1,1,1,1,1,1,1,1,9,2,2,2,1,9,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,1,2,2,1,2,1,9,2,9,1,2,1,2,2,1,1,1,9,1,1,1,2,2,1,1
456,MONTMAGNY,Quebec,1867 - 1933,6,1887.02.22,1057,4dce9d20-2749-41b3-a080-b8eac398146e,"CHOQUETTE, P. Aug.",1071,0.5495,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,2,2,2,1,2,9,9,9,1,9,9,1,2,2,1,1,1,2,9,2,2,9,9,9,2,1,9,1,9,1,1,2,1,2,2,9,1,1,1,1,1,1,1,1,9,9,9,9,9,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,9,1,9,1,1,1,1,1,1,1,9,9,1,1,2,9,9,1,1,2,9,1,9,1,9,2,1,1,9,9,9,1,2,9,9,9,1,9,2,1,2,2,1,9,9,1,1,1,2,9,9,1,9
392,LENNOX,Ontario,1867 - 1903,6,1887.02.22,1083,4fa6e520-c225-437f-92e4-2fe6af783ace,"WILSON, Uriah",1635,0.5035,Conservative (1867-1942),Merchant,Protestant,0,1,,,,,,,,,,,,,2,1,1,2,1,2,2,1,2,2,1,2,1,1,2,2,1,1,9,2,1,2,2,1,1,2,1,1,2,2,2,1,9,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,9,2,2,9,1,2,2,2,2,1,2,1,9,1,9,2,2,9,2,1,1,1,1,9,2,2,2,2,9,9,2,2
396,LEVIS,Quebec,1867 - 1998,6,1887.02.22,1096,50e36853-c956-48b6-9204-d01bc20b4a0b,"GUAY, Pierre-Malcom",2170,0.5499,Liberal Party of Canada,"Physician, surgeon",Fr.Catholic,1,2,,,,,,,,,,,,,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,1,1,2,9,2,9,1,1,2,2,1,2,1,1,9,1,2,1,2,1,1,1,1,9,9,1,1,1,1,1,1,2,2,1,9,1,2,1,2,1,2,1,2,2,1,1,1,9,9,9,9,9,1,1,9,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,2,1,1,1,1,9,2,1,1,1,2,2,9,2,1,2,9,1,9,9,9,2,2,1,9,9,1,1,1,2,9,9,1,1
134,CHARLEVOIX,Quebec,1867 - 1914,6,1887.02.22-1887.06.26,1109,5213cfcc-017d-43b0-afbe-c3ea9dff35e1,"CIMON, S.X.",903,0.3321,Independent Liberal,"Contractor, manufacturer, merchant",Fr.Catholic,1,4,,,,,,,,,,Died in office: 1887.06.26,,,2,2,2,1,2,1,1,2,2,1,9,1,2,9,2,2,1,1,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
563,PRESCOTT,Ontario,1867 - 1952,6,1887.02.22,1116,52c1a2e6-e020-41a1-916d-be897f7928f9,"LABROSSE, Simon",1414,0.5362,Independent Conservative,"Merchant, postmaster",Fr.Catholic,1,2,,,,,,,,,,,,,2,2,2,1,9,9,9,9,2,9,9,9,9,2,1,1,2,2,9,9,9,2,2,1,1,9,9,1,1,2,9,9,9,9,1,9,9,2,2,9,9,2,2,2,9,1,1,1,1,9,9,9,9,2,2,9,2,2,9,9,9,2,9,9,9,9,9,9,9,9,9,9,2,9,2,2,2,2,2,2,2,2,2,1,9,9,1,9,9,9,2,1,1,2,9,1,1,1,2,2,9,9,9,1,9,9,2,1,9,2,1,2,9,9,9,9,9,2,9,9,2,2
501,NORTHUMBERLAND WEST,Ontario,1867 - 1914,6,1887.02.22,1151,54b672a0-5cd7-4ecb-89ba-f60701ad23a8,"GUILLET, George",1648,0.5057,Conservative (1867-1942),Merchant,Protestant,0,3,,,,,,,,,,,,,2,2,2,1,1,2,2,1,2,2,1,2,1,1,2,2,2,2,9,9,9,2,2,1,1,2,1,2,2,2,2,1,2,9,2,2,2,9,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,1,2,2,2,2,1,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,1,2,1,1,2,2,2,2,9,1,2,2,2,2,1,2,2,2
55,BOTHWELL,Ontario,1867 - 1903,6,1887.02.22,1153,54d45e0b-418e-487a-ba6a-706204df759b,"MILLS, Hon. David",2182,0.5024,Liberal Party of Canada,"Lawyer, teacher",Protestant,0,6,,,,,,,,,,,,,2,2,2,1,2,1,1,2,1,1,9,1,2,1,2,2,1,2,2,1,2,1,1,2,2,9,9,1,2,1,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,9,2,1,9,1,1,2,1,2,1,2,1,2,9,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,9,1,1,2,1,1,2,1,1,2,1,1,1,2,2,1,2,1,9,9,1,2,9,1,2,1,2,1,9,1,1,1,2,2,1,1,1
582,QUEBEC WEST,Quebec,1867 - 1933,6,1887.02.22,1202,57e3af20-7752-4e88-b4ff-fabf0b0ca03c,"MCGREEVY, Hon. T.",816,0.5145,Liberal-Conservative,Contractor,Catholic,0,6,,,,,,,,,,,,,2,2,2,1,1,9,2,1,2,9,9,2,1,2,1,1,2,2,9,9,9,9,2,1,1,9,9,9,1,9,2,1,9,9,2,2,2,2,2,2,9,2,2,2,2,9,9,9,9,9,1,1,2,9,2,2,2,2,2,2,9,2,9,9,9,9,9,2,9,9,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,2,9,9,9,2,9,9,1,9,2,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9
248,GRENVILLE SOUTH,Ontario,1867 - 1903,6,1887.02.22,1229,59b6afbf-d08d-4201-aa87-876db1f4bb25,"SHANLY, Walter",1407,0.5424,Conservative (1867-1942),Civil engineer,Protestant,0,3,,,,,,,,,Ireland,,,,1,2,2,2,1,2,2,1,9,9,9,9,9,1,9,9,9,9,9,2,1,2,2,1,1,1,1,1,9,2,2,1,2,1,9,2,9,9,2,2,9,2,2,2,9,1,1,2,1,2,9,1,2,9,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2,1,9,2,9,9,1,9,2,2,1,9,1,9,1,2,2,1,9,9,9,1,9,2,2,1,9,1,1,1,9,9,2,2,2,9,9,9,2,2
340,KINGSTON,Ontario,1867 - 1924,6,1887.02.22,1233,59dd9d42-12e0-4d91-af20-4a5de0ea5e12,"MACDONALD, Rt. Hon. Sir John A.",1368,0.5031,Conservative (1867-1942),Lawyer,Protestant,0,6,,1,,,,,,,Scotland,Resignation. Elected for Kingston and for Carleton. Chose to sit for Kingston,,,9,1,1,2,1,2,2,1,2,2,1,2,1,1,1,1,2,2,9,9,9,2,2,1,1,9,9,2,9,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,9,1,2,1,2,2,1,2,1,2,9,2,2,2,2,2,2,9,2,2,2,2,2,2,9,9,9,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,9,1,2,2,2,2,1,2,1,2,1,1,2,2,1,2,2,2,2,9,1,2,2,2,2,1,1,2,2
624,ROUVILLE,Quebec,1867 - 1914,6,1887.02.22,1241,5a581670-34a2-4859-bbe2-77b0dca03a0f,"GIGAULT, George Auguste",accl.,,Conservative (1867-1942),Notary,Fr.Catholic,1,3,,,,,,,,,,,,,2,2,2,1,2,9,1,2,2,2,1,1,2,2,2,2,1,2,9,2,2,9,2,1,9,2,1,2,9,2,2,1,9,2,2,2,9,2,2,1,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,9,9,9,9,9,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,1,2,2,2,2,1,1,2,9,9,2,1,1,2,2,1,2,1,9,2,2,1,2,9,1,2,2,1,2,2,2,2,1,2,2,2
253,GREY SOUTH,Ontario,1867 - 1914,6,1887.02.22,1250,5b784d04-8c77-412a-b958-2c751b7bd2bf,"LANDERKIN, George",2292,0.5108,Liberal Party of Canada,Physician,Protestant,0,4,,,,,,,,,,,,,2,2,2,1,2,1,1,2,1,1,1,1,2,9,9,1,9,9,9,9,9,1,1,2,2,2,9,1,9,1,1,2,1,9,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,1,1,2,1,1,1,2,1,2,9,1,1,1,2,1,1,9,9,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,9,1,2,2,9,9,1,1,9,9,9,1,2,1,9,1,1,9,2,9,2,2,1,1,2,9,1,1,2,2,1,1,1
364,LAMBTON WEST,Ontario,1882 - 1966,6,1887.02.22,1251,5b820118-a127-4673-816f-c89a4e166132,"LISTER, James Frederic",2335,0.5679,Liberal Party of Canada,Lawyer,Protestant,0,2,,,,,,,,,,,,,2,2,2,1,2,9,1,2,1,9,9,1,2,9,9,9,9,9,9,1,2,9,1,2,2,9,9,1,2,1,1,2,1,1,1,1,9,1,9,1,1,1,1,1,1,1,2,2,2,1,2,1,9,1,1,9,1,9,1,1,1,1,2,1,1,1,1,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,9,2,1,1,2,1,2,1,2,2,9,2,1,2,9,9,9,9,9,2,2,1,1,9,1,1,1,2,9,9,9,9
797,WELLINGTON SOUTH,Ontario,1867 - 1966,6,1887.02.22,1253,5bb449ac-03e9-4094-8d26-53228424c1b8,"INNES, James",2411,0.5134,Liberal Party of Canada,"Journalist, newspaper editor, newspaper publisher, teacher",Protestant,0,2,,,,,,,,,Scotland,,,,2,2,2,1,2,1,1,2,9,1,1,1,2,9,2,2,1,1,9,9,9,1,1,2,2,9,2,2,9,1,1,2,1,1,1,1,1,1,9,1,1,1,1,1,1,2,2,1,1,1,2,1,1,9,1,2,1,2,1,1,1,1,2,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,9,2,1,1,2,2,1,2,1,1,1,2,2,1,2,1,2,9,1,9,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1
259,HALDIMAND,Ontario,1867 - 1892,6,1887.02.22- and 1887.11.12- and 1890.02.20,1259,5c3e28ae-1e3c-4d71-85b7-908ab98713a1,"MONTAGUE, Walter Humphries",1746,0.5001,Conservative (1867-1942),Physician,Protestant,0,1,,,,,,,,,,Both first two elections were declared void: 1887.02.22 & 1887.11.12,,,2,1,1,1,1,2,9,9,2,2,9,2,1,1,2,2,2,2,1,2,1,2,2,1,1,2,1,9,9,2,2,1,2,1,2,2,2,2,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,2,1,9,9,1,2,1,1,2,2,1,2,9,9,2,2,2,2,1,2,9,2
186,DUNDAS,Ontario,1867 - 1924,6,1887.02.22,1308,5fb60ef9-4603-40cc-8432-0a81f79dfedb,"HICKEY, Charles E.",2079,0.5147,Conservative (1867-1942),Physician,Protestant,0,2,,,,,,,,,,,,,1,1,1,2,1,2,2,1,2,2,1,2,1,1,1,2,2,2,1,9,9,2,2,1,1,2,1,1,1,2,2,1,2,1,2,2,2,2,2,9,2,2,2,2,2,2,2,2,1,9,1,2,2,1,2,1,2,2,1,2,2,2,9,2,2,2,2,2,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,9,1,9,2,2,1,2,1,2,1,2,2,1,2,1,2,1,9,2,1,1,2,1,1,2,1,1,2,2,2,2,9,9,2,2
399,LINCOLN AND NIAGARA,Ontario,1882 - 1903,6,1887.02.22-1890.05.02 and 1890.05.23,1325,60dce6b8-9a48-42d7-ac05-78696717ffa4,"RYKERT, John Charles",2655,0.5505,Conservative (1867-1942),Lawyer,Protestant,0,3,,,,,,,,,,Resignation: 1890.05.02,,,1,1,1,2,1,2,9,9,2,2,1,2,1,9,9,9,9,9,9,9,9,2,2,1,1,2,1,1,2,9,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,1,1,2,1,2,1,2,2,1,2,2,2,2,9,9,2,2,1,2,2,2,2,2,9,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,2,2,9,1,2,9,9,9,2,2,1,9,9,9,1,1,2,9,9,9,1,1,2,1,1,2,9,9,2,99,99,99,99
327,KENT,New Brunswick,1867 - 1966,6,1887.02.22-1890.04.16,1330,6119cde3-2c8a-48b8-9698-b990d4fd0219,"LANDRY, P.A.",1765,0.5552,Conservative (1867-1942),Lawyer,Fr.Catholic,1,2,,,,,,,,,,"Resignation. Appointed County Court Judge for Westmorland and Kent, N.B: 1890.04.16",,,2,2,1,9,1,2,2,1,2,2,1,2,1,2,2,2,1,1,2,2,9,2,2,1,1,9,9,1,2,2,2,1,2,9,2,9,2,2,2,2,2,2,2,2,2,9,2,2,2,2,1,2,2,9,2,9,2,2,2,2,2,2,9,2,2,2,2,2,9,2,9,2,2,9,2,2,2,2,2,2,2,9,9,9,9,9,1,9,2,9,2,1,1,2,1,2,2,9,9,9,9,1,2,1,9,2,9,9,2,99,99,99,99,99,99,99,99,99,99,99,99,99
704,STANSTEAD,Quebec,1867 - 1966,6,1887.02.22-1889.11.27 and 1889.12.18,1341,61ded175-30d3-421c-9bab-151b579f57d1,"COLBY, Charles Carroll",1844,0.5667,Liberal-Conservative,"Author, lawyer",Protestant,0,6,,1,,,,,,,United States,Resignation. Appointed President of the Privy Council: 1889.11.27,,,9,9,9,9,1,9,9,9,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,1,1,2,1,9,9,2,2,1,2,9,2,2,2,2,2,2,2,2,2,2,2,9,9,2,9,2,2,1,2,9,2,1,2,2,9,9,2,2,9,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,1,2,9,9,2,2,1,9,1,9,2,9,9,9,2,1,2,1,9,2,2,1,2,2,2,2,9,9,2,2,2,2,1,1,2,2
462,MONTREAL EAST,Quebec,1867 - 1892,6,1888.09.26,1343,621a9152-65cd-46fb-9460-fff69fac5d29,"LEPINE, Alphonse-Telesphore",3818,0.5475,Independent Conservative,"Journalist, printer",Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,2,9,1,2,2,2,2,1,2,2,1,2,9,2,2,2,2,9,2,9,2,9,9,1,2,2,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,1,1,2,1,2,1,9,9,9,2,1,9,9,9,2,9,9,9,9,2,2,9,1,2,9,9,9,9,9,2,2
287,HOCHELAGA,Quebec,1867 - 1978,6,1887.02.22,1355,62e8d0ed-ec37-4851-b96d-038faa1437d7,"DESJARDINS, Alph.",3050,0.5185,Independent Conservative,"Editor, lawyer",Fr.Catholic,1,4,,,,,,,,,,,,,2,2,2,1,1,2,2,1,2,9,9,2,1,9,2,1,2,2,2,2,9,2,2,1,1,9,1,1,9,2,2,1,9,9,2,2,2,2,2,9,9,2,2,2,2,9,1,2,1,9,1,2,2,9,2,2,2,2,2,2,2,2,9,2,2,2,2,2,9,9,2,2,2,2,2,9,9,9,9,9,9,2,2,1,2,9,9,9,9,2,9,1,1,2,9,9,9,1,1,2,2,1,9,1,9,2,9,1,2,2,9,9,9,1,9,9,9,2,9,9,2,2
518,OTTAWA (CITY OF),Ontario,,6,1887.02.22-1890.04.01,1361,63562802-0bcb-4d9d-84ed-f04c3112c97a,"PERLEY, W.G.",3339,0.2954,Conservative (1867-1942),Lumber merchant,Spiritualist,0,1,,,,,,,,,United States,Died in office: 1890.04.01,,,2,2,2,1,1,2,9,1,2,2,1,2,1,1,2,2,2,2,1,2,1,2,2,1,9,9,9,9,9,2,2,1,9,1,2,2,2,9,9,2,2,2,2,2,9,9,1,2,1,2,2,1,2,9,2,9,2,2,1,2,2,2,2,2,9,9,9,2,2,2,2,2,2,9,2,2,2,9,2,9,9,9,9,9,2,9,1,2,9,9,2,2,1,2,1,2,2,2,2,1,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
207,ELGIN EAST,Ontario,1867 - 1924,6,1887.02.22,1365,63bfd806-4b27-4fbf-befb-7fa9bf919e5e,"WILSON, John Henry",2744,0.505,Liberal Party of Canada,"Physician, professor",Protestant,0,2,,,,,,,,,,,,,2,2,2,1,2,1,1,2,1,1,9,1,2,1,2,2,1,2,1,2,1,1,1,2,2,1,2,9,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,2,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,9,1,2,1,1,2,2,1,2,1,1,9,9,9,1,2,1,2,1,1,1,1,1,2,2,1,1,9,1,9,9,1,2,2,1,1
144,CHICOUTIMI--SAGUENAY,Quebec,1867 - 1924,6,1887.02.22,1395,66012b53-d392-4934-b3d8-97f61abc1295,"COUTURE, Paul",1209,0.4139,Independent,Farmer,Fr.Catholic,1,1,,,,,,,,,,,,,2,2,2,1,1,2,2,1,2,2,1,1,2,2,1,1,1,1,9,2,2,2,2,1,1,2,1,1,1,2,1,2,1,2,9,1,1,1,1,1,1,1,1,1,1,9,1,9,9,9,1,2,1,2,1,2,1,2,2,1,1,1,1,1,9,9,9,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,1,1,1,2,9,2,9,1,1,2,2,1,2,1,9,9,1,9,9,9,9,9,9,9,9,9,1,9,9,2,9,9,1
479,NEW WESTMINSTER,British Columbia,1872 - 1976,6,1890.06.19,1406,66f92940-57d4-4775-959a-1d3d4607c8c5,"CORBOULD, Gordon Edward",accl.,,Conservative (1867-1942),Lawyer,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
