Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H12S1V001,H12S1V002,H12S1V003,H12S1V004,H12S1V005,H12S1V006,H12S1V007,H12S1V008,H12S1V009,H12S1V010,H12S1V011,H12S1V012,H12S1V013,H12S1V014,H12S1V015,H12S1V016,H12S2V001,H12S2V002,H12S2V003,H12S2V004,H12S2V005,H12S2V006,H12S2V007,H12S2V008,H12S2V009,H12S2V010,H12S2V011,H12S2V012,H12S2V013,H12S2V014,H12S2V015,H12S2V016,H12S2V017,H12S2V018,H12S2V019,H12S2V020,H12S2V021,H12S2V022,H12S2V023,H12S2V024,H12S2V025,H12S2V026,H12S2V027,H12S2V028,H12S2V029,H12S2V030,H12S2V031,H12S2V032,H12S2V033,H12S2V034,H12S2V035,H12S2V036,H12S2V037,H12S2V038,H12S2V039,H12S2V040,H12S2V041,H12S2V042,H12S2V043,H12S2V044,H12S2V045,H12S2V046,H12S2V047,H12S3V001,H12S3V002,H12S3V003,H12S3V004,H12S3V005,H12S3V006,H12S3V007,H12S3V008,H12S3V009,H12S3V010,H12S3V011,H12S3V012,H12S3V013,H12S3V014,H12S3V015,H12S3V016,H12S5V001,H12S6V001,H12S6V002,H12S6V003,H12S6V004,H12S6V005,H12S6V006,H12S6V007,H12S6V008,H12S6V009,H12S6V010,H12S6V011,H12S6V012,H12S7V001,H12S7V002,H12S7V003,H12S7V004,H12S7V005,H12S7V006,H12S7V007,H12S7V008,H12S7V009,H12S7V010,H12S7V011,H12S7V012,H12S7V013,H12S7V014,H12S7V015,H12S7V016,H12S7V017,H12S7V018,H12S7V019,H12S7V020,H12S7V021,H12S7V022,H12S7V023,H12S7V024,H12S7V025,H12S7V026,H12S7V027,H12S7V028,H12S7V029
776,VICTORIA,New Brunswick,1867 - 1914,12,1911.09.21,1375,64706d8b-7252-4010-9517-6f90f6dfaf49,"MICHAUD, Pius",3059,0.7336,Liberal Party of Canada,"Barrister, lawyer",Fr.Catholic,1,3,,,,,,,,,,,,,1,9,9,1,1,9,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,2,9,9,9,9,2,2,2,2,1,1,9,2,1,2,2,1,1,1,1,9,9,2,2,2,1,1,1,1,1,1,2,1,1,9,9,9,9,9,1,1,1,9,1,2,1,9,1,1,1,1,1,9,9,9,1,2,1,9,2,1,1,1,1,1,1,1,9,1,9,1,1,9,2,1,1,2,1,2,2,1,1,2,2,1,2,2,2,1,2,1,1,2,1,2,2,9
345,KOOTENAY,British Columbia,1903 - 1914,12,1911.09.21-1912.05.03 ,1377,64a8b3b9-6cc4-4b67-b0b6-1e57b883617c,"GOODEVE, Arthur Samuel",4113,0.5751,Conservative (1867-1942),Pharmacist,Protestant,0,2,,,,,,,,,,Resignation. Appointed Commissioner of the Board of Railway Commissioners for Canada: 1912.05.03 ,,,2,1,2,2,2,2,2,2,2,2,1,9,9,9,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
810,WESTMORLAND,New Brunswick,1867 - 1966,12,1915.02.01,1383,651714ed-1fa2-4874-a656-3e55434ef8cc,"COPP, Arthur Bliss",accl.,,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,1,9,2,2,1,1,1,1,9,9,1,9,9,1,1,2,2,1,1,2,1,2,9,9,1,9,2,1,2,2,2,1,2,1,1,9,9,9,9,1
139,CHATEAUGUAY,Quebec,1867 - 1914,12,1913.10.11,1389,65869aee-6e2a-43c6-8b3c-0b22a73d3a87,"MORRIS, James",1412,0.5271,Conservative (1867-1942),"Farmer, granite dealer, marble dealer",Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,9,9,2,1,2,2,2,2,2,2,2,2,2,9,9,9,2,9,1,9,2,2,2,2,9,2,9,2,9,2,2,1,2,2,2,1,2,1,1,9,2,9,9,9,1,1,1,2,1,2,2,1,2,1,1,1
497,NORTHUMBERLAND,New Brunswick,1867 - 1955,12,1911.09.21,1393,65b95af4-7627-444a-9989-c8b3033301d0,"LOGGIE, William Stewart",3128,0.5334,Liberal Party of Canada,"Company head, manufacturer, merchant",Protestant,0,3,,,,,,,,,,,,,1,2,1,9,1,1,1,1,1,9,2,1,1,1,9,9,1,2,1,1,2,9,2,1,2,9,9,9,9,9,2,2,2,9,9,1,2,9,2,2,1,1,1,9,9,2,2,2,9,1,1,9,1,1,1,2,9,9,9,1,2,2,9,1,1,9,1,9,2,1,1,1,1,9,9,9,1,9,9,9,9,1,9,2,1,1,1,1,1,1,1,9,9,1,1,9,9,2,2,2,1,9,9,9,9,9,2,9,9,2,2,2,1,2,9,9,9,9,9,9,2
432,MEGANTIC,Quebec,1867 - 1933,12,1911.09.21,1422,68071fca-03f2-4f7c-b33c-2ed63bb08327,"PACAUD, Lucien Turcotte",2986,0.5327,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,1,9,1,9,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,9,2,1,4,9,9,9,9,9,9,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,9,9,9,9,9,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,9,1,9,9,1,1,1,1,9,1,1,9,9,1,1,1,2,2,1,1,2,1,2,2,9,1,9,2,1,9,9,9,9,2,1,1,9,1,2,9,9
488,NORFOLK,Ontario,1903 - 1924,12,1911.09.21,1446,6964b02f-0a05-4b93-b401-adca34231cb1,"CHARLTON, William Andrew",3179,0.5095,Liberal Party of Canada,"Businessman, lumber merchant",Protestant,0,1,,,,,,,,,United States,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,2,9,2,1,2,9,9,9,9,9,9,9,9,9,9,1,2,9,2,2,1,1,1,9,9,9,9,9,9,1,1,1,1,1,1,2,9,1,9,9,9,9,9,1,9,9,1,9,9,1,9,9,2,9,9,9,9,2,9,9,9,1,9,9,9,9,9,9,1,1,1,9,9,9,1,9,9,2,2,2,1,9,9,1,9,9,9,9,9,2,2,2,1,9,9,9,9,9,9,9,2
603,RESTIGOUCHE,New Brunswick,1867 - 1914,12,1911.09.21-1915.11.15,1458,6a6494ab-800a-49c6-a153-c5bbc106f7d1,"REID, James",1512,0.5638,Liberal Party of Canada,"Lumber merchant, merchant",Protestant,0,4,,,,,,,,,,Died in office: 1915.11.15,,,1,9,1,1,1,9,1,1,1,1,2,9,9,9,2,9,1,2,1,1,2,1,2,1,2,9,9,9,9,9,2,2,2,1,9,1,2,1,2,2,1,1,1,9,9,9,2,2,2,1,1,1,1,1,1,2,9,9,9,9,9,9,9,1,1,1,1,1,9,1,9,1,1,9,9,9,9,9,9,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
109,NORTH CAPE BRETON AND VICTORIA,Nova Scotia,1903 - 1924,12,1911.09.21,1478,6c38f39b-1f70-4da5-ac6d-14d796590e55,"MCKENZIE, Daniel Duncan",3418,0.5494,Liberal Party of Canada,Lawyer,Protestant,0,3,,,,,,,,,,,,,1,2,1,1,9,1,1,1,1,1,2,9,9,9,2,1,1,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,1,1,1,9,2,2,2,2,2,1,1,1,1,1,1,2,1,9,1,1,2,2,9,1,9,9,1,9,2,1,1,1,1,1,1,1,1,1,9,1,1,1,9,2,1,9,9,9,1,1,1,1,1,1,1,1,9,9,9,9,9,1,2,2,9,1,2,2,1,9,2,2,1,9,9,9,9,1,2,2,1
330,KENT EAST,Ontario,1903 - 1914,12,1911.09.21,1504,6d854670-e0f5-4fc3-888f-6c2e288bf87d,"GORDON, David Alexander",2604,0.5287,Liberal Party of Canada,Manufacturer,Protestant,0,3,,,,,,,,,,,,,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
518,OTTAWA (CITY OF),Ontario,,12,1911.09.21,1521,6e53a5bb-3ad7-4029-8f31-a5197bd338ef,"CHABOT, John Leo",6892,0.2538,Conservative (1867-1942),"Physician, surgeon",Fr.Catholic,1,1,,,,,,,,,,,,,2,1,2,9,9,2,2,2,2,2,1,9,9,9,2,2,2,2,9,9,9,2,2,2,1,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,2,2,1,9,9,2,9,9,9,9,2,9,9,9,9,9,2,9,9,2,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
196,EDMONTON,Alberta,1905 - 1914,12,1911.09.21,1525,6e8d69a0-c443-4d32-9982-364df1473067,"OLIVER, Hon. Frank",7070,0.5676,Liberal Party of Canada,Publisher,Protestant,0,5,,,,,,,,,,,,,1,2,1,9,1,1,1,1,1,1,2,9,9,9,2,1,1,2,1,1,2,9,2,1,2,2,9,9,9,2,2,2,2,1,9,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,9,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9,9,1,9,9,2,2,9,1,1,1,2,2,1,1,9,1,1,2,2,1,1,2,1,2,2,9,1,2,2,1,2,2,2,1,2,1,1,2,1,2,2,1
781,VICTORIA CITY,British Columbia,1903 - 1924,12,1911.09.21,1546,70751f3f-93c4-498e-954c-d7a8df6a4c93,"BARNARD, George Henry",2816,0.5178,Conservative (1867-1942),Lawyer,Protestant,0,2,,,,,,,,,,,,,2,1,9,9,2,9,2,2,2,2,1,2,2,9,2,2,2,2,2,2,1,9,9,9,9,9,9,9,9,9,1,1,1,2,9,9,9,9,1,1,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,9,2,1,2,9,9,9,9,9,9,9,9,9,9,9,2,9,1,1,2,9,9,9,1,2,2,2,9,9,2,9,2,2,2,1,2,1,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9
624,ROUVILLE,Quebec,1867 - 1914,12,1911.09.21,1590,733cae8a-7e57-46c6-ab2e-478ac991835f,"LEMIEUX, Hon. Rodolphe",1467,0.5523,Liberal Party of Canada,"Author, lawyer, lecturer",Fr.Catholic,1,5,,,,,,,,,,,,,1,2,1,1,9,1,9,9,9,1,2,1,1,9,2,1,1,2,1,1,2,1,2,1,2,9,9,9,2,2,2,2,2,1,1,9,9,1,2,2,9,9,9,9,9,2,2,2,2,1,1,1,1,1,1,2,9,1,1,1,2,2,9,1,1,9,1,1,9,1,9,1,1,9,1,1,1,1,1,9,2,9,9,1,9,1,9,9,9,1,1,1,1,1,1,1,9,2,1,1,2,1,2,2,1,1,2,2,1,2,2,2,1,2,1,1,9,9,9,9,9
266,HALTON,Ontario,1867 - 1987,12,1911.09.21,1612,74dd6652-cc90-4645-97e9-bfadb4e237e7,"HENDERSON, David",2618,0.5435,Conservative (1867-1942),"Banker, merchant",Protestant,0,7,,,,,,,,,,,,,2,9,2,2,9,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,9,9,9,9,9,1,1,1,9,9,2,1,9,1,1,2,2,2,9,9,9,1,1,1,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,9,2,2,9,2,2,2,2,2,2,2,2,2,2,9,9,1,2,2,2,2,1,2,2,2,9,9,2,1,2,2,2,1,2,1,1,2,9,1,1,9,1,1,1,2,1,9,9,1,9,9,1,2
820,WINNIPEG,Manitoba,1882 - 1914,12,1911.09.21-1911.10.11,1633,766d27fe-f05e-4e0a-bddc-605b5779ad8d,"HAGGART, Alexander",12754,0.5515,Conservative (1867-1942),Lawyer,Protestant,0,2,,,,,,,,,,Resignation. To allow Robert Rogers to run for office: 1911.10.11,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
704,STANSTEAD,Quebec,1867 - 1966,12,1911.09.21-1916.10.17,1641,76ab9a7d-91d7-4263-ad45-23749038e071,"LOVELL, Charles Henry",2310,0.5231,Liberal Party of Canada,"Farmer, manufacturer, merchant",Protestant,0,3,,,,,,,,,,Died in office: 1916.10.17,,,1,2,1,1,9,9,1,1,1,1,2,1,1,1,2,1,1,9,1,1,2,9,2,1,2,9,9,9,9,9,9,9,9,1,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
157,COMPTON,Quebec,1867 - 1947,12,1911.09.21,1666,783c9d92-da59-454c-99d4-36808edf03d3,"CROMWELL, Frederick Robert",2953,0.5065,Conservative (1867-1942),"Farmer, manager",Protestant,0,1,,,,,,,,,,,,,2,9,2,2,9,2,9,9,9,9,1,9,2,2,2,2,2,2,2,2,1,9,2,2,1,1,1,1,1,1,1,1,1,2,2,9,1,2,1,1,9,9,9,9,9,1,9,1,9,2,9,2,2,2,2,1,9,1,9,9,1,1,9,2,2,2,2,2,1,9,2,9,2,2,2,2,2,2,2,2,9,2,9,9,1,2,9,9,9,1,2,9,9,9,2,9,1,2,2,2,1,2,1,1,9,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9
155,COMOX--ATLIN,British Columbia,1903 - 1914,12,1911.09.21,1671,788af498-0867-47ce-9b0b-a659e0c3ad21,"CLEMENTS, Herbert Sylvester",1810,0.5274,Conservative (1867-1942),"Broker, farmer, real estate agent",Protestant,0,2,,,,,,,,,,,,,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,9,1,9,1,1,2,2,2,2,1,1,1,1,1,2,9,9,9,9,2,1,2,1,9,9,9,9,9,2,2,9,9,9,1,2,2,9,9,9,9,9,9,9,9,9,9,2,9,1,1,9,9,9,9,1,2,2,9,9,9,2,9,2,2,2,1,9,1,1,9,9,9,9,2,9,9,9,9,1,9,9,9,9,9,9,9
294,HUMBOLDT,Saskatchewan,1905 - 1952,12,1911.09.21,1674,78c899dc-d8e5-4071-8d04-a77260e0b2a6,"NEELY, David Bradley",7265,0.7114,Liberal Party of Canada,Physician,Protestant,0,2,,,,,,,,,,,,,1,9,1,1,1,1,1,1,1,1,2,9,9,1,2,1,1,9,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,9,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,9,1,1,1,2,9,9,1,1,1,1,1,2,1,1,9,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9
110,CAPE BRETON SOUTH,Nova Scotia,1903 - 1914,12,1911.09.21,1675,78eadf97-c6a9-462a-b669-6f6616adf0ba,"CARROLL, William F.",5069,0.4942,Liberal Party of Canada,"Barrister, lawyer",Catholic,0,1,,,,,,,,,,,,,1,2,1,1,9,9,9,9,9,9,9,1,1,1,2,1,1,2,1,1,2,1,9,9,2,9,9,9,9,9,2,2,9,1,1,1,2,9,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,9,9,9,9,9,9,9,9,1,1,9,1,1,1,1,9,1,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
514,ONTARIO SOUTH,Ontario,1867 - 1924,12,1911.09.21,1678,790af30c-6f5a-4c27-9611-f1717541e81d,"SMITH, William",2917,0.5339,Conservative (1867-1942),"Breeder, farmer, importer",Protestant,0,3,,,,,,,,,,,,,2,1,2,2,9,2,2,2,2,2,1,9,9,9,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,9,9,2,2,1,2,1,2,2,1,1,1,2,2,2,9,2,1,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,1,2,2,2,2,9,2,9,9,9,2,2,1,2,2,2,1,2,1,1,9,2,9,1,2,1,1,1,2,9,9,9,9,9,9,9,2
313,JACQUES CARTIER,Quebec,1867 - 1952,12,1915.02.01,1680,792186e5-5fe3-49a5-861a-a1bdf4b35349,"DESCARRIES, Joseph Adelard",accl.,,Conservative (1867-1942),Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,9,9,1,9,2,2,2,9,1,2,9,9,9,2,9,9,1,1,2,2,2,2,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
251,GREY EAST,Ontario,1872 - 1914,12,1911.09.21-1915.12.02,1714,7b93f979-f291-49f1-9a5c-54d08800f177,"SPROULE, Thomas Simpson",2560,0.6344,Conservative (1867-1942),"Businessman, farmer, physician",Protestant,0,9,,,,,,,,,,Resignation. Called to the Senate: 1915.12.02,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
139,CHATEAUGUAY,Quebec,1867 - 1914,12,1911.09.21-1913.05.30,1723,7bfda4f2-69fc-4407-b3b4-ccf8d867ee63,"BROWN, James Pollock",1281,0.5079,Liberal Party of Canada,Farmer,Protestant,0,6,,,,,,,,,,Died in office: 1913.05.30,,,1,2,1,9,1,1,1,1,9,1,2,1,1,1,2,1,1,2,1,1,2,9,2,1,2,2,2,2,2,2,2,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
169,DAUPHIN,Manitoba,1903 - 1983,12,1911.09.21,1724,7c1a0382-2f6e-4c4d-acdd-b42097dfd66f,"CRUISE, Robert",3674,0.5567,Liberal Party of Canada,"Businessman, farmer",Protestant,0,1,,,,,,,,,,,,,1,9,1,1,1,9,1,1,1,1,2,1,1,1,2,9,1,2,1,1,2,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,1,9,1,2,1,1,9,1,9,9,9,9,9,9,1,9,1,9,2,1,9,9,9,9,2,2,9,9,9,9,9,2,2,2,2,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
472,NANAIMO,British Columbia,1903 - 1962,12,1911.09.21,1755,7e6c466a-1529-4efe-b830-5ab4b11cfbbd,"SHEPHERD, Francis Henry",2438,0.5821,Conservative (1867-1942),"Civil engineer, mining engineer",Protestant,0,1,,,,,,,,,England,,,,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,9,2,2,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,9,2,2,2,2,2,1,1,2,2,9,9,9,9,9,2,2,2,2,1,2,2,2,1,2,1,1,2,2,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1
183,DRUMMOND--ARTHABASKA,Quebec,1867 - 1966,12,1911.09.21,1785,80e0f61c-02a8-440b-8dfc-7c83b16b459b,"BROUILLARD, Ovide",3800,0.5182,Liberal Party of Canada,Businessman,Fr.Catholic,1,1,,,,,,,,,,,,,1,9,9,1,9,1,9,9,9,9,9,1,1,1,2,1,1,2,1,1,2,9,2,1,2,9,9,9,9,9,9,9,9,9,1,9,9,1,2,2,9,9,9,9,9,2,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,9,9,1,9,9,9,9,9,9,1,1,1,1,1,1,9,1,9,1,9,9,9,2,9,9,1,9,9,9,1,9,9,9,9,9,9,2,1,1,2,1,2,2,9,1,9,9,1,2,2,2,1,9,9,9,2,1,2,9,9
122,CARLETON,New Brunswick,1867 - 1914,12,1911.09.21,1790,80f4de9d-1b1a-4db1-93cf-9cb7b9b63dd4,"CARVELL, Frank Broadstreet",2614,0.5011,Liberal Party of Canada,Lawyer,Protestant,0,3,,,,,,,,,,,,,1,9,9,1,1,1,1,1,1,1,2,9,9,9,2,1,1,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,9,2,1,2,2,1,1,1,1,2,2,2,2,9,9,1,1,1,1,1,2,9,1,1,1,2,2,2,1,1,9,1,9,2,1,1,9,1,1,1,1,9,9,9,9,1,9,1,2,2,9,9,9,9,9,1,9,9,1,9,9,9,2,2,2,1,1,2,1,1,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,2
606,RICHELIEU,Quebec,1867 - 1933,12,1911.09.21- and 1912.10.24,1794,813dc256-6e33-4184-9974-dd19238a9aaf,"CARDIN, Pierre-Joseph-Arthur",2373,0.5915,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,Election declared void: 1911.09.21.,,,1,2,9,9,1,9,9,9,9,1,2,9,9,1,2,1,1,2,1,1,2,9,2,1,2,2,2,2,2,2,2,2,2,1,1,9,2,1,2,2,1,1,1,1,2,2,9,9,9,9,1,1,1,1,1,2,9,9,9,9,9,9,9,1,1,1,1,1,2,1,9,1,9,9,1,1,9,9,1,1,9,1,9,2,1,9,9,9,9,1,1,9,9,9,1,9,9,2,1,1,2,1,2,2,1,1,2,2,1,9,9,9,9,9,1,1,2,9,9,9,9
235,GASPE,Quebec,1867 - 1996,12,1911.09.21,1805,81e3e8cc-2b28-4ab0-aa03-61a8b53603aa,"GAUTHIER, Louis-Philippe",2470,0.5652,Conservative (1867-1942),Physician,Fr.Catholic,1,1,,,,,,,,,,,,,2,1,2,2,2,9,9,9,2,2,1,9,9,2,2,2,2,2,9,9,1,9,2,2,1,9,9,9,9,9,1,1,1,9,9,2,1,2,1,1,9,9,9,9,9,1,1,1,9,2,2,2,2,2,2,1,2,9,9,2,1,1,9,9,2,2,9,2,9,2,2,9,9,9,2,9,9,9,9,2,9,2,9,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
684,SHERBROOKE (TOWN OF),Quebec,,12,1911.09.21,1814,8266761d-df92-481b-a611-14cdb3e925bd,"MCREA, Francis ""N"".",2321,0.5042,Liberal Party of Canada,Lumber merchant,Protestant,0,1,,,,,,,,,,,,,1,2,9,1,1,9,9,9,9,1,2,9,9,1,2,1,1,2,1,1,2,9,2,1,2,9,9,9,9,9,9,9,9,1,9,9,2,1,2,2,9,9,9,9,9,2,2,2,9,9,1,1,1,1,1,2,1,9,9,9,9,9,2,1,1,9,1,9,9,1,1,1,1,1,9,9,9,1,9,9,9,9,9,2,9,1,9,9,9,1,1,9,9,9,1,9,9,2,1,1,2,1,2,2,9,1,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9
469,MUSKOKA,Ontario,1903 - 1924,12,1911.09.21,1822,82d7e9e4-2cdc-418e-94b5-1b115c88ac94,"WRIGHT, William",2282,0.6439,Conservative (1867-1942),"Blacksmith, merchant",Protestant,0,3,,,,,,,,,,,,,2,9,2,2,2,2,2,2,9,2,1,9,9,9,2,2,2,9,2,2,1,9,2,2,1,1,1,1,1,9,9,1,1,2,2,9,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,9,1,2,2,1,1,9,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,9,2,2,2,9,2,1,2,1,2,9,1,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,9,1,9,9,9,9,9,9,9,9,1,2,1,1,9
837,YARMOUTH,Nova Scotia,1867 - 1914,12,1911.09.21-1916.02.03,1832,83534b65-81ca-43e7-9bab-5f921b3f7b6c,"LAW, Bowman Brown",2399,0.6638,Liberal Party of Canada,Merchant,Protestant,0,4,,,,,,,,,United States,"Passed away in the fire that destroyed the Centre Block of the Parliament Buildings, Ottawa, Ont: 1916.02.03",,,1,9,9,1,1,9,1,1,1,1,2,9,9,9,2,9,1,2,1,1,2,1,2,1,2,9,9,9,9,9,2,2,2,1,1,1,2,9,2,2,9,9,9,9,9,9,2,2,2,1,1,1,1,1,1,2,9,1,9,1,2,2,9,1,1,1,1,1,2,9,9,1,9,9,9,9,9,9,9,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
