Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H11S1V001,H11S1V002,H11S1V003,H11S1V004,H11S1V005,H11S1V006,H11S1V007,H11S1V008,H11S1V009,H11S1V010,H11S1V011,H11S1V012,H11S1V013,H11S2V001,H11S2V002,H11S2V003,H11S2V004,H11S2V005,H11S2V006,H11S2V007,H11S2V008,H11S2V009,H11S2V010,H11S2V011,H11S2V012,H11S2V013,H11S2V014,H11S2V015,H11S2V016,H11S2V017,H11S2V018,H11S2V019,H11S2V020,H11S2V021,H11S2V022,H11S2V023,H11S3V001,H11S3V002,H11S3V003,H11S3V004,H11S3V005,H11S3V006,H11S3V007,H11S3V008,H11S3V009,H11S3V010,H11S3V011,H11S3V012,H11S3V013,H11S3V014,H11S3V015,H11S3V016,H11S3V017,H11S3V018,H11S3V019,H11S3V020,H11S3V021,H11S3V022,H11S3V023
704,STANSTEAD,Quebec,1867 - 1966,11,1908.10.26,1641,76ab9a7d-91d7-4263-ad45-23749038e071,"LOVELL, Charles Henry",2211,0.5191,Liberal Party of Canada,"Farmer, manufacturer, merchant",Protestant,0,2,,,,,,,,,,,,,1,1,1,2,2,9,2,2,2,2,9,9,2,1,1,1,1,9,9,9,1,2,2,2,2,1,2,2,2,9,1,2,9,2,2,1,2,2,1,9,2,9,2,2,1,1,2,9,2,2,2,2,2,2,2,2,2,2,2
443,MIDDLESEX WEST,Ontario,1867 - 1966,11,1908.10.26-1909.10.20,1648,7742d428-dcac-4a71-a208-0a6a083d36cd,"CALVERT, William Samuel",1856,0.5016,Liberal Party of Canada,"Manufacturer, merchant",Protestant,0,4,,,,,,,,,,Resignation. Appointed a member of the National Transcontinental Railway Commission: 1909.10.20.,,,1,1,1,2,2,2,2,2,2,2,2,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
69,BRANTFORD,Ontario,1903 - 1924,11,1908.10.26,1656,77cdf7f7-6bb0-4d4e-a1d7-b4c039df7de4,"HARRIS, Lloyd",2832,0.5188,Liberal Party of Canada,Businessman,Protestant,0,1,,,,,,,,,,,,,1,9,9,2,2,9,9,2,2,2,2,9,2,9,1,1,9,9,2,9,1,2,9,9,9,9,9,9,9,9,1,9,9,2,9,9,2,2,1,9,2,9,9,2,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9
1246,PRINCE EDWARD,Ontario,1903 - 1924,11,1908.10.26,1659,78018e26-7446-439c-8ba6-2e01aa67bf05,"CURRIE, Morley",2341,0.5151,Liberal Party of Canada,"Physician, surgeon",Protestant,0,1,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,9,9,2,1,1,1,1,2,9,2,1,2,2,2,2,1,2,2,2,9,1,9,9,9,9,9,2,2,1,9,2,2,2,2,1,1,2,2,2,9,2,2,2,2,2,9,2,2,2
294,HUMBOLDT,Saskatchewan,1905 - 1952,11,1908.10.26,1674,78c899dc-d8e5-4071-8d04-a77260e0b2a6,"NEELY, David Bradley",3524,0.6216,Liberal Party of Canada,Physician,Protestant,0,1,,,,,,,,,,,,,1,9,1,2,2,2,2,2,2,2,2,9,2,1,1,1,9,2,2,9,1,2,2,2,2,1,2,9,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,9,9,2,9,9
251,GREY EAST,Ontario,1872 - 1914,11,1908.10.26,1714,7b93f979-f291-49f1-9a5c-54d08800f177,"SPROULE, Thomas Simpson",2396,0.6554,Conservative (1867-1942),"Businessman, farmer, physician",Protestant,0,8,,,,,,,,,,,,,2,2,9,1,9,1,1,1,1,1,1,9,1,2,2,2,2,1,2,1,1,1,2,1,1,2,9,2,1,9,2,1,1,1,1,2,1,1,2,1,1,1,9,1,2,9,9,1,1,1,1,1,1,1,9,1,1,1,1
139,CHATEAUGUAY,Quebec,1867 - 1914,11,1908.10.26,1723,7bfda4f2-69fc-4407-b3b4-ccf8d867ee63,"BROWN, James Pollock",1397,0.5613,Liberal Party of Canada,Farmer,Protestant,0,5,,,,,,,,,,,,,1,9,1,2,2,9,2,2,9,2,2,9,2,1,1,1,1,2,2,2,9,2,2,2,2,1,2,1,2,9,1,2,9,2,2,9,2,2,1,9,2,2,2,2,1,9,2,2,2,2,2,9,2,2,9,9,9,9,9
157,COMPTON,Quebec,1867 - 1947,11,1908.10.26,1749,7dcd6d15-391e-480d-8f81-4bdc6ea05e69,"HUNT, Aylmer Byron",3175,0.5331,Liberal Party of Canada,"Director, farmer, lumberman, real estate agent",Protestant,0,2,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,9,9,1,2,9,9,1,9,2,9,2,9,2,2,2,2,1,9,2,9,9,1,2,2,2,2,9,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,9,2,2,2,9
122,CARLETON,New Brunswick,1867 - 1914,11,1908.10.26,1790,80f4de9d-1b1a-4db1-93cf-9cb7b9b63dd4,"CARVELL, Frank Broadstreet",2635,0.5147,Liberal Party of Canada,Lawyer,Protestant,0,2,,,,,,,,,,,,,1,1,1,2,9,9,2,2,2,2,2,1,9,9,1,1,9,9,2,2,9,2,2,2,2,1,2,2,2,9,1,2,9,9,9,1,2,2,9,1,2,9,2,2,1,1,2,2,2,2,2,2,2,2,2,9,9,9,9
706,STORMONT,Ontario,1903 - 1914,11,1908.10.26,1813,824eef89-ca86-49c4-8e8a-d3f09a56a11b,"SMITH, Robert",2383,0.4696,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,1,1,1,2,2,9,9,2,2,9,2,9,2,1,1,1,1,2,2,2,1,2,2,2,2,1,2,9,2,2,9,2,9,9,9,9,2,2,1,9,2,2,2,9,1,9,2,9,2,9,9,9,2,2,2,9,9,9,9
469,MUSKOKA,Ontario,1903 - 1924,11,1908.10.26,1822,82d7e9e4-2cdc-418e-94b5-1b115c88ac94,"WRIGHT, William",2248,0.5949,Conservative (1867-1942),"Blacksmith, merchant",Protestant,0,2,,,,,,,,,,,,,2,9,9,1,1,1,1,1,1,1,9,2,1,9,9,2,2,1,2,1,2,1,2,1,1,2,1,2,1,9,2,1,1,1,1,9,1,1,2,1,1,1,1,1,2,2,1,9,1,1,1,1,1,1,1,1,1,1,9
837,YARMOUTH,Nova Scotia,1867 - 1914,11,1908.10.26,1832,83534b65-81ca-43e7-9bab-5f921b3f7b6c,"LAW, Bowman Brown",2285,0.6124,Liberal Party of Canada,Merchant,Protestant,0,3,,,,,,,,,United States,,,,9,9,9,9,9,2,2,9,2,2,2,1,9,9,1,1,1,2,9,9,1,2,2,2,2,1,9,2,2,2,1,2,2,2,2,9,2,2,1,1,2,9,2,2,1,1,2,2,2,2,9,2,2,2,2,9,9,9,9
432,MEGANTIC,Quebec,1867 - 1933,11,1908.10.26,1860,85a25d58-0f9a-4ebb-9c59-b1a4a9986f9b,"SAVOIE, Francois Theodore",2800,0.5421,Liberal Party of Canada,,Fr.Catholic,1,2,,,,,,,,,,,,,1,1,1,2,2,9,2,2,2,2,2,1,2,1,1,1,1,9,9,2,9,2,2,2,2,1,2,2,2,9,1,2,9,9,2,1,2,2,1,9,2,2,2,9,1,1,2,2,2,9,2,2,2,2,2,9,2,2,2
277,HASTINGS EAST,Ontario,1867 - 1924,11,1908.10.26,1888,87c17501-d622-40a8-b54a-e744773295dc,"NORTHRUP, William Barton",2864,0.6534,Conservative (1867-1942),Lawyer,Protestant,0,4,,,,,,,,,,,,,2,2,2,1,1,1,1,1,9,1,1,2,1,2,2,9,9,1,2,1,2,9,9,1,1,2,1,9,1,9,2,9,1,1,1,2,9,9,2,1,1,1,1,1,9,9,1,1,9,1,9,1,1,1,1,1,9,9,9
51,BONAVENTURE,Quebec,1867 - 1971,11,1908.10.26,1896,8844037f-c912-404d-a505-6bf56321dd9a,"MARCIL, Charles",2408,0.6775,Liberal Party of Canada,Journalist,Fr.Catholic,1,3,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
75,BROME,Quebec,1867 - 1924,11,1908.10.26,1902,8898cbb9-c7b4-4b1d-8019-f6672fcd0560,"FISHER, Hon. Sydney Arthur",1674,0.5686,Liberal Party of Canada,Farmer,Protestant,0,6,,1,,,,,,,,,,,1,9,1,2,2,2,2,2,2,2,9,1,2,1,1,1,9,9,2,2,1,2,2,2,2,1,9,2,2,2,1,2,2,9,9,9,2,2,1,9,2,2,2,2,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2
679,SHELBURNE AND QUEEN'S,Nova Scotia,1892 - 1924,11,1908.10.26,1908,89103d9d-627c-4f56-8113-57b0d3865982,"FIELDING, Hon. William Stevens",2487,0.5369,Liberal Party of Canada,"Correspondent, editor, journalist",Protestant,0,4,,1,,,,,,,,,,,9,1,1,2,2,2,2,2,2,2,2,1,2,9,1,1,1,9,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,9,9,9,9,9,9,9,2,1,1,2,2,2,2,2,9,2,2,2,2,2,2,2
424,MARQUETTE,Manitoba,1871 - 1976,11,1908.10.26,1917,896b827c-c49c-4978-9b77-7590d414c5ee,"ROCHE, William James",3285,0.5475,Conservative (1867-1942),Physician,Protestant,0,4,,,,,,,,,,,,,2,2,2,1,1,1,9,9,9,1,1,9,9,2,2,1,2,1,9,1,9,1,2,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,2,9,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,9,1,1,9
269,HAMILTON EAST,Ontario,1903 - 2003,11,1908.10.26,1928,8aa5c0ed-bcaa-4229-9464-8fbd967acc30,"BARKER, Samuel",2968,0.4815,Conservative (1867-1942),Lawyer,Protestant,0,3,,,,,,,,,,,,,2,2,2,9,1,1,9,9,9,1,1,2,1,9,2,9,9,1,2,1,1,1,2,1,1,2,9,1,1,1,9,9,9,1,1,9,1,1,2,2,1,9,1,1,9,9,1,1,1,9,1,1,1,1,1,1,1,9,1
472,NANAIMO,British Columbia,1903 - 1962,11,1908.10.26,1946,8bc67a8b-cd7a-49f9-a21c-9128298f183e,"SMITH, Ralph",1494,0.3608,Liberal Party of Canada,Miner,Protestant,0,3,,,,,,,,,England,,,,1,1,9,2,9,2,9,2,2,2,2,9,2,1,1,9,9,2,2,2,1,2,2,2,2,1,2,2,2,9,1,2,2,2,2,1,2,2,1,9,2,2,2,2,9,9,2,2,9,2,2,2,2,2,2,9,9,9,9
215,ESSEX NORTH,Ontario,1882 - 1924,11,1908.10.26-1909.10.20,1960,8cbc312c-ad1a-45b5-ae85-a50e78fa4dd4,"SUTHERLAND, Hon. Robert Franklin",3227,0.5421,Liberal Party of Canada,Lawyer,Protestant,0,3,,,,,,,,,,"Resignation. Appointed Justice of the High Court, Exchequer Division and Puisne Judge, High Court Division, Supreme Court of Canada: 1909.10.20.",,,1,1,9,2,9,9,2,2,2,2,2,9,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
714,SUNBURY--QUEEN'S,New Brunswick,1892 - 1914,11,1908.10.26,1977,8dfefd55-ad19-4012-a2c9-b6c83a73227a,"MCLEAN, Hugh Havelock",1951,0.5068,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,1,1,1,9,2,2,9,2,9,9,2,1,2,9,1,9,1,9,9,2,1,9,2,2,2,1,9,9,2,9,9,2,9,2,2,9,9,9,9,9,9,2,2,9,1,9,2,9,9,2,9,9,2,9,9,9,9,9,9
155,COMOX--ATLIN,British Columbia,1903 - 1914,11,1908.10.26-1909.01.21,1981,8e78104a-7343-4187-a8da-d1a1d733ce79,"SLOAN, William",accl.,,Liberal Party of Canada,Businessman,Protestant,0,2,,,,,,,,,,Resignation. To allow William Templeman to run for office: 1909.01.21.,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
841,YORK CENTRE,Ontario,1903 - 1914,11,1908.10.26,2010,9049e5c2-b599-425a-bd36-065671fe70e8,"WALLACE, Thomas George",2614,0.5043,Conservative (1867-1942),"Merchant, miller",Protestant,0,1,,,,,,,,,,,,,2,2,2,1,1,1,9,1,9,1,1,2,9,2,2,9,2,1,1,1,2,1,2,1,1,2,1,9,1,1,2,1,1,1,1,9,1,9,2,1,1,1,9,1,2,2,9,1,1,1,1,1,1,1,1,1,1,1,1
576,QU'APPELLE,Saskatchewan,1905 - 1966,11,1908.10.26,2012,90968dd4-24bc-4851-b512-b20a1e979fc8,"LAKE, Richard Stuart",3833,0.5034,Conservative (1867-1942),Farmer,Protestant,0,2,,,,,,,,,England,,,,2,2,2,1,1,1,1,9,1,1,9,2,1,2,2,2,2,1,2,1,2,1,2,1,1,2,1,9,9,9,9,9,9,1,1,2,1,1,2,9,9,1,1,1,2,2,1,1,1,1,1,1,1,1,1,9,9,9,9
564,PRINCE,Prince Edward Island,1903 - 1966,11,1908.10.26,2028,9183238e-7fd1-489c-a0af-9c7ef42e31a6,"RICHARDS, James William",3520,0.5119,Liberal Party of Canada,"Merchant, shipowner",Protestant,0,1,,,,,,,,,Wales,,,,1,1,1,2,2,2,9,9,2,2,2,1,2,1,1,9,1,2,2,2,1,9,2,2,2,1,2,9,2,9,1,2,2,9,2,1,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,9,2,2,2
33,BATTLEFORD,Saskatchewan,1907 - 1924,11,1908.10.26,2029,918efb3a-d92d-46aa-83f0-6e63ac4cf6d3,"CHAMPAGNE, Albert",3462,0.6042,Liberal Party of Canada,"Farmer, hotelier, rancher",Fr.Catholic,0,1,,,,,,,,,,,,,9,1,9,2,9,2,9,2,9,9,9,9,2,1,1,1,9,2,2,2,1,9,2,2,2,1,2,9,9,9,1,2,2,2,9,9,2,2,1,9,2,2,2,9,9,1,2,9,9,9,2,2,9,2,2,9,2,2,2
183,DRUMMOND--ARTHABASKA,Quebec,1867 - 1966,11,1910.11.03,2052,93420f91-69eb-45e1-9f67-2bb9b440926b,"GILBERT, Arthur",3451,0.5155,Nationalist,"Farmer, merchant",Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,1,2,2,1,1,9,1,1,9,1,1,1,1,1,1,1,9,1,9,9
544,PERTH NORTH,Ontario,1867 - 1933,11,1908.10.26,2054,937788e9-84e8-4b88-9f74-781470a4f23e,"RANKIN, James Palmer",3514,0.5029,Liberal Party of Canada,"Physician, surgeon",Protestant,0,1,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,9,1,2,2,2,1,2,2,2,2,1,2,2,2,9,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,9,2,2,2,2,2,2,2,2,2,9,2,2,2
518,OTTAWA (CITY OF),Ontario,,11,1910.01.29,2056,93a3ecda-c963-499d-a2df-6709ada20820,"ALLARD, Albert",5779,0.5302,Liberal Party of Canada,Store owner,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,2,2,1,2,2,2,2,1,2,2,9,1,2,9,2,2,1,1,2,2,2,2,2,2,2,9,2,2,2,2,2
260,HALDIMAND,Ontario,1903 - 1952,11,1908.10.26,2058,93d83706-34fe-496c-8008-8da34d423458,"LALOR, Francis Ramsey",2644,0.5244,Conservative (1867-1942),"Manufacturer, merchant",Protestant,0,2,,,,,,,,,,,,,2,9,9,1,1,1,1,9,9,9,1,9,1,9,9,9,9,1,9,1,9,1,2,1,1,2,9,9,9,9,2,1,1,1,1,9,1,1,2,1,1,9,1,1,9,9,1,1,9,9,9,1,1,1,9,9,9,9,9
501,NORTHUMBERLAND WEST,Ontario,1867 - 1914,11,1908.10.26,2075,94c8e1d0-9af7-479e-99aa-8376116d4510,"MCCOLL, John B.",1438,0.5237,Liberal Party of Canada,Lawyer,Catholic,0,3,,,,,,,,,,,,,1,1,1,2,2,9,9,2,9,2,2,9,2,1,1,1,1,9,2,2,1,2,2,2,2,1,2,2,2,2,1,2,9,2,9,1,2,2,1,1,2,2,2,2,1,1,2,9,2,2,9,2,2,2,9,2,2,2,2
183,DRUMMOND--ARTHABASKA,Quebec,1867 - 1966,11,1908.10.26-1910.10.12,2095,963cd360-aaf3-4918-9bbe-1bd8e5fe0643,"LAVERGNE, Louis",3754,0.5625,Liberal Party of Canada,"Editor, notary",Fr.Catholic,1,4,,,,,,,,,,Resignation.  Called to the Senate: 1910.10.12,,,1,1,1,2,2,2,2,2,2,2,2,1,9,1,1,1,1,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
538,PEEL,Ontario,1867 - 1966,11,1908.10.26,2097,96798f2e-2759-407e-8682-bc91559c9f45,"BLAIN, Richard",2758,0.5276,Conservative (1867-1942),Merchant,Protestant,0,3,,,,,,,,,,,,,2,2,2,1,1,9,1,1,1,1,1,9,1,2,2,2,2,1,2,1,2,1,2,1,1,2,1,2,1,9,2,1,9,1,1,9,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,9
400,LISGAR,Manitoba,1871 - 1987,11,1908.10.26,2162,9b2b504a-dfad-40b7-9a4e-2ae25432c120,"SHARPE, William Henry",1765,0.5153,Conservative (1867-1942),Merchant,Protestant,0,1,,,,,,,,,,,,,2,2,2,1,1,9,9,9,1,1,1,2,1,2,2,9,2,1,1,1,2,1,2,1,1,2,9,2,1,1,2,1,1,1,1,1,1,9,2,1,1,1,1,1,2,9,1,1,9,1,1,1,1,1,9,9,1,1,1
37,BEAUHARNOIS,Quebec,1867 - 1933,11,1908.10.26,2163,9b2ea652-cd61-4b53-bea3-192a790cd611,"PAPINEAU, Louis-Joseph",1843,0.504,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,1,1,1,2,2,2,9,2,2,2,2,9,2,1,1,1,1,2,2,2,1,2,2,2,2,1,2,1,2,9,1,2,2,2,9,9,2,2,1,9,2,2,2,9,1,1,2,2,2,9,9,2,2,2,9,2,2,2,2
363,LAMBTON EAST,Ontario,1882 - 1933,11,1908.10.26,2169,9b9087eb-6add-462b-bc28-48898b45eb69,"ARMSTRONG, Joseph E.",2921,0.5427,Conservative (1867-1942),"Farmer, manufacturer, oilman",Protestant,0,3,,,,,,,,,,,,,2,2,2,1,1,9,9,1,1,1,1,2,1,2,2,2,2,1,2,1,2,9,2,1,1,2,9,2,1,1,2,1,1,1,9,9,1,1,2,1,1,1,1,1,2,2,9,1,1,1,1,1,1,1,1,9,1,1,1
187,DURHAM,Ontario,1903 - 1966,11,1908.10.26,2179,9c5593fe-9a33-4b13-a29f-7601e8c4f098,"THORNTON, Charles Jonas",3387,0.5506,Conservative (1867-1942),Farmer,Protestant,0,2,,,,,,,,,,,,,2,2,2,1,1,1,1,1,1,9,1,9,1,2,2,9,2,1,1,1,9,1,2,1,1,2,1,9,1,1,2,9,9,1,1,1,1,1,2,1,1,9,1,1,2,9,1,1,1,1,1,1,1,1,1,1,1,1,1
130,CHAMBLY--VERCHERES,Quebec,1893 - 1933,11,1908.10.26,2197,9d40d4ba-8cab-4ef0-b0d9-d9788b093899,"GEOFFRION, Victor",2481,0.5996,Liberal Party of Canada,Lawyer,Fr.Catholic,1,4,,,,,,,,,,,,,9,1,1,2,2,9,9,2,2,2,9,9,2,1,1,1,1,2,9,2,1,2,2,2,2,1,2,1,2,9,1,2,2,2,2,1,2,2,1,9,2,2,2,9,1,1,2,2,9,2,2,9,2,2,2,9,2,9,2
580,QUEBEC-CENTRE,Quebec,1867 - 1914,11,1908.10.26,2232,a013916b-4744-4912-a536-3bac61b96fbe,"LACHANCE, Arthur",2049,0.6435,Liberal Party of Canada,"Crown attorney, crown prosecutor, lawyer",Fr.Catholic,1,2,,,,,,,,,,,,,9,1,1,2,2,9,9,9,2,9,9,9,2,1,1,1,9,2,9,2,9,2,2,2,2,1,2,1,2,9,9,9,9,2,2,1,2,2,1,2,2,2,2,2,9,1,2,2,2,2,2,9,2,2,9,9,2,2,2
518,OTTAWA (CITY OF),Ontario,,11,1908.10.26,2267,a2c87132-d0ad-432a-9b93-f493d5d4ddc5,"MCGIVERIN, Harold B.",6388,0.2574,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,1,1,1,2,2,9,9,2,2,2,9,1,2,1,1,1,9,2,2,2,1,9,9,9,9,9,9,2,2,9,1,2,2,2,2,1,2,2,1,1,2,2,2,2,9,9,9,9,9,9,2,2,2,9,2,9,2,2,9
574,PROVENCHER,Manitoba,1871 - ,11,1908.10.26,2272,a33ce87d-0860-4816-885e-070b32a2126e,"MOLLOY, John Patrick",2719,0.5462,Liberal Party of Canada,"Farmer, veterinary surgeon",Protestant,0,1,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,9,2,9,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,9,2,9,2,2,1,1,2,2,9,9,2,2,2,2,9,2,2,2,2
169,DAUPHIN,Manitoba,1903 - 1983,11,1908.10.26,2274,a39edc3e-9333-44eb-bd8f-d2bcf13be390,"CAMPBELL, Glenlyon Archibald",3206,0.5175,Conservative (1867-1942),"Rancher, trapper",Protestant,0,1,,,,,,,,,,,,,2,9,2,1,1,9,9,9,1,1,1,9,9,2,2,2,2,1,1,1,9,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,9,2,2,1,1,1,1,9,1,1,9,1,1,1,1,1
742,TORONTO SOUTH,Ontario,1903 - 1933,11,1908.10.26,2291,a4788f5f-f4d0-4d29-8db9-5402c82499e1,"MACDONNELL, Angus Claude",2771,0.6167,Conservative (1867-1942),Lawyer,Fr.Catholic,0,2,,,,,,,,,,,,,2,9,9,1,1,9,1,1,9,1,1,2,1,9,9,9,2,9,9,9,1,1,2,1,1,2,1,1,9,9,2,1,9,1,9,9,1,9,2,9,1,1,1,1,9,2,1,1,1,1,9,1,1,1,1,9,1,1,1
12,ANNAPOLIS,Nova Scotia,1867 - 1914,11,1908.10.26,2299,a4d4148a-03d7-4f5a-a688-cca947fc6411,"PICKUP, Samuel W.W.",2121,0.5262,Liberal Party of Canada,"Farmer, merchant, shipbuilder, shipowner",Protestant,0,2,,,,,,,,,,,,,1,1,1,2,2,2,9,2,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,9,2,9,2
458,MONTMORENCY,Quebec,1867 - 1914,11,1908.10.26,2320,a616913c-8355-462b-913e-e3acbfdb8a99,"PARENT, Georges",1388,0.564,Liberal Party of Canada,Lawyer,Fr.Catholic,1,2,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,9,1,2,1,1,9,1,2,2,2,9,9,2,2,2,1,2,1,2,9,1,2,2,2,2,9,2,2,1,9,2,2,2,9,1,9,2,2,9,9,2,2,2,2,2,2,2,2,2
407,LOTBINIERE,Quebec,1867 - 2000,11,1908.10.26- and 1909.10.26,2334,a6fc2912-863a-4f22-b4cf-427563609051,"FORTIER, Edmond",2304,0.6123,Liberal Party of Canada,Teacher,Fr.Catholic,1,4,,,,,,,,,,Election declared void: 1908.10.26.,,,1,1,9,2,2,2,2,2,2,2,2,1,2,1,1,1,9,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,9,2,2,1,2,2,2,2,2,1,1,2,9,2,9,2,2,2,2,2,2,2,2,2
172,DIGBY,Nova Scotia,1867 - 1914,11,1908.10.26,2341,a7d067da-f1bc-4093-a252-f9785b004e92,"JAMESON, Clarence",1771,0.5192,Conservative (1867-1942),Town clerk,Protestant,0,1,,,,,,,,,,,,,2,2,2,1,1,1,9,1,1,1,1,2,1,2,2,1,2,9,2,1,2,1,1,1,1,2,9,2,1,1,2,9,1,1,1,9,1,1,2,1,1,1,1,1,9,9,1,1,1,9,9,1,1,1,1,1,1,1,1
797,WELLINGTON SOUTH,Ontario,1867 - 1966,11,1908.10.26,2354,a8b2b613-dd5c-4a22-8f22-c0e4f180c7b6,"GUTHRIE, Hugh",3873,0.5498,Liberal Party of Canada,Lawyer,Protestant,0,3,,,,,,,,,,,,,1,1,9,9,2,9,9,9,2,2,2,1,2,1,1,9,2,9,9,2,1,2,2,2,2,1,2,2,9,2,1,9,9,2,2,1,2,2,1,9,9,9,2,2,9,9,9,2,9,2,9,2,2,2,9,9,9,9,9
186,DUNDAS,Ontario,1867 - 1924,11,1908.10.26,2373,a9a07775-2146-42b3-aa62-6541588c9dd9,"BRODER, Andrew",2308,0.5553,Conservative (1867-1942),"Farmer, merchant",Protestant,0,4,,,,,,,,,,,,,2,2,2,1,1,9,1,1,1,9,1,9,1,2,2,9,2,9,2,1,1,1,1,1,1,2,9,9,9,9,2,1,9,1,1,9,1,1,2,1,1,1,1,1,2,2,1,1,9,9,9,1,9,9,1,9,1,1,9
548,PETERBOROUGH EAST,Ontario,1867 - 1924,11,1908.10.26,2417,ad0451f8-201a-48c3-839d-97e0eb97bd10,"SEXSMITH, John A.",1922,0.5552,Conservative (1867-1942),Farmer,Protestant,0,1,,,,,,,,,,,,,2,2,2,9,1,1,1,1,1,1,1,9,1,2,2,2,2,1,1,1,9,1,2,1,1,2,9,2,9,1,2,1,1,1,1,9,1,9,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,9,9,9
647,ST. LAWRENCE,Quebec,1892 - 1914,11,1908.10.26,2437,aed4afa9-170f-440a-beaa-a13c1ef3b1b6,"BICKERDIKE, Robert",3576,0.5516,Liberal Party of Canada,Businessman,Protestant,0,3,,,,,,,,,,,,,1,1,9,2,2,9,2,2,2,2,9,1,9,9,9,1,1,9,9,2,9,9,2,2,2,1,9,9,2,9,9,2,9,2,9,9,2,2,9,9,2,2,2,9,9,1,9,2,2,2,9,9,9,9,9,2,9,2,9
599,RENFREW NORTH,Ontario,1867 - 1972,11,1908.10.26,2439,af025269-a729-423f-9f43-6c05bf11a767,"WHITE, Gerald Verner",2493,0.5683,Conservative (1867-1942),Mining engineer,Protestant,0,2,,,,,,,,,,,,,2,9,2,1,1,9,1,9,1,1,1,9,1,2,2,2,2,1,9,1,2,1,1,1,1,2,1,9,1,9,2,1,1,1,1,9,1,1,2,9,1,1,1,1,2,2,1,1,1,9,1,1,1,1,1,1,9,9,9
613,RICHMOND--WOLFE,Quebec,1867 - 1966,11,1908.10.26,2446,af70e3dd-d0c4-4f3a-bb49-71bab5656aea,"TOBIN, Edmund William",3850,0.5579,Liberal Party of Canada,"Lumber merchant, manufacturer, merchant",Catholic,0,3,,,,,,,,,,,,,1,1,1,2,2,9,2,9,2,2,9,9,2,1,1,9,1,9,9,2,9,2,2,2,2,1,9,9,2,9,1,2,9,2,2,1,2,2,1,9,2,9,2,9,9,9,2,2,9,2,2,2,9,2,2,9,2,2,9
