Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H07S1V001,H07S1V002,H07S1V003,H07S1V004,H07S1V005,H07S1V006,H07S1V007,H07S1V008,H07S1V009,H07S1V010,H07S1V011,H07S1V012,H07S1V013,H07S1V014,H07S1V015,H07S1V016,H07S1V017,H07S1V018,H07S1V019,H07S1V020,H07S1V021,H07S1V022,H07S1V023,H07S1V024,H07S1V025,H07S1V026,H07S1V027,H07S1V028,H07S2V001,H07S2V002,H07S2V003,H07S2V004,H07S2V005,H07S2V006,H07S2V007,H07S2V008,H07S2V009,H07S2V010,H07S2V011,H07S2V012,H07S2V013,H07S3V001,H07S3V002,H07S3V003,H07S3V004,H07S3V005,H07S3V006,H07S3V007,H07S3V008,H07S3V009,H07S3V010,H07S3V011,H07S3V012,H07S4V001,H07S4V002,H07S4V003,H07S4V004,H07S4V005,H07S4V006,H07S4V007,H07S4V008,H07S4V009,H07S4V010,H07S4V011,H07S4V012,H07S4V013,H07S4V014,H07S4V015,H07S4V016,H07S4V017,H07S4V018,H07S4V019,H07S4V020,H07S4V021,H07S4V022,H07S4V023,H07S4V024,H07S4V025,H07S4V026,H07S4V027,H07S4V028,H07S4V029,H07S4V030,H07S4V031,H07S4V032,H07S5V001,H07S5V002,H07S5V003,H07S5V004,H07S5V005,H07S5V006,H07S5V007,H07S5V008,H07S5V009,H07S5V010,H07S5V011,H07S5V012,H07S5V013,H07S5V014,H07S5V015,H07S5V016,H07S5V017,H07S5V018,H07S5V019,H07S5V020,H07S5V021,H07S5V022,H07S6V001,H07S6V002,H07S6V003,H07S6V004,H07S6V005,H07S6V006,H07S6V007,H07S6V008,H07S6V009,H07S6V010,H07S6V011,H07S6V012,H07S6V013
351,L'ISLET,Quebec,1867 - 1933,7,1891.03.05-1892.10.11 ,845,3ded6898-0b33-4482-aef0-2e45a6625e27,"DESJARDINS, L.G.",981,0.5015,Conservative (1867-1942),"Author, editor, journalist",Fr.Catholic,1,2,,,,,,,,,,Resignation. Becomes Clerk of the Legislative Assembly of Quebec: 1892.10.11 ,,,1,1,1,1,1,1,2,2,2,1,2,2,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
425,MASKINONGE,Quebec,1867 - 1924,7,1891.03.05,850,3e13a544-1868-4c34-92ad-866f990a5c21,"LEGRIS, J.H.",1153,0.5246,Liberal Party of Canada,Farmer,Fr.Catholic,1,1,,,,,,,,,,,,,2,2,2,9,9,2,1,9,2,2,9,9,9,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,9,2,9,9,1,1,1,1,2,2,1,1,1,9,1,9,1,2,2,2,9,1,9,9,9,1,1,9,1,1,1,1,1,2,2,1,1,9,9,9,2,2,1,9,9,9,9,9,1,2,2,2,2,9,9,9,9,1,1,9,1,9,9,1,2,1,1,9,9,9,9,9,9,2,1,2,2,1,9,9,9,1,1
566,PRINCE COUNTY,Prince Edward Island,1873 - 1892,7,1891.03.05,855,3e65f013-b2a2-4df0-aac7-e6e708e10a3a,"YEO, John",3279,0.2727,Liberal Party of Canada,"Farmer, shipowner",Protestant,0,1,,,,,,,,,,,,,2,2,2,2,2,2,1,1,2,2,2,1,1,1,9,9,9,9,9,9,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,1,1,9,1,1,1,1,1,2,1,9,1,9,1,9,1,9,2,9,2,9,9,9,9,9,9,9,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,2,1,1,9,9,2,2,1,1,1,1,1,2,1,1,1,1,1,9,9,1,2,2,2,1,2,2,1,2,1,1,9,1
563,PRESCOTT,Ontario,1867 - 1952,7,1891.03.05- and 1892.03.30,860,3e8f3909-fb97-4564-be8b-96b131b869e2,"PROULX, Isidore",1269,0.4625,Liberal Party of Canada,"Farmer, merchant",Fr.Catholic,1,1,,,,,,,,,,Unseated: ó,,,2,2,9,2,2,9,1,1,2,2,9,1,9,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,9,9,1,2,1,1,1,2,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,9,2,9,2,1,1,9,9,1,1,1,1,9,1,1,1,2,2,2,1,1,1,2,2,2,1,9,9,9,9,9,1,2,1,2,9,1,2,9,9,1,1,1,1,1,9,1,9,1,1,1,1,9,9,1,9,9,1,2,2,1,2,2,9,9,1
518,OTTAWA (CITY OF),Ontario,,7,1891.03.05-1893.10.31,867,3eda5982-6ab7-46f1-8060-5154f5acd871,"MACKINTOSH, C.H.",3029,0.3205,Conservative (1867-1942),"Author, editor, journalist",Protestant,0,3,,,,,,,,,,Resignation: 1893.10.31,,,1,1,1,1,1,1,2,2,2,1,1,2,1,2,9,2,2,2,2,2,2,2,2,9,1,2,2,1,9,9,2,1,2,9,2,1,1,2,2,1,2,2,2,2,2,9,9,2,2,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
846,YORK NORTH,Ontario,1867 - 2003,7,1891.03.05,879,3fbbf99b-cf52-4821-bdc6-2ec9565a294a,"MULOCK, William",2331,0.5422,Liberal Party of Canada,Lawyer,Protestant,0,3,,,,,,,,,,,,,2,2,9,2,2,9,9,1,2,2,2,1,1,1,2,1,1,1,9,1,1,1,1,1,2,2,1,2,2,1,1,2,1,9,1,2,2,1,1,9,9,1,1,1,1,1,2,1,1,1,1,1,1,9,9,9,1,2,9,9,1,2,9,9,9,9,1,1,1,1,9,9,9,9,2,1,2,2,1,1,2,9,1,1,1,1,9,9,9,1,1,9,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,9,9,2,1,2,2,1,2,1,2,9,9
5,ALBERT,New Brunswick,1867 - 1903,7,1891.03.05,881,3fe08c60-be49-4d41-9a65-aa189f4e7476,"WELDON, R.C.",1096,0.518,Conservative (1867-1942),"Lawyer, professor",Protestant,0,2,,,,,,,,,,,,,1,1,9,1,1,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,9,9,9,9,1,2,2,1,9,9,9,9,9,2,2,1,1,2,1,1,2,9,9,9,9,9,9,9,2,1,2,1,2,2,9,1,1,9,2,2,2,9,2,2,2,2,9,2,2,9,2,2,2,1,1,1,2,9,9,9,9,9,9,9,9,9,9,2,1,2,2,1,2,2,2,9,2,2,2,9,2,9,2,2,2,9,9,2,9,1,2,1,2,9,9,9,9,9,2,9
407,LOTBINIERE,Quebec,1867 - 2000,7,1891.03.05,891,40dfba85-d6b8-4d7d-bedc-56534752c586,"RINFRET, Come I.",accl.,,Liberal Party of Canada,Physician,Fr.Catholic,1,4,,,,,,,,,,,,,2,2,2,2,9,2,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,9,9,1,1,1,1,1,9,9,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,9,9,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,9,9,1,2,1,2,2,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,9,2,1,9,2,1,2,2,1,9,9,9,1,1
339,KINGS,Nova Scotia,1867 - 1924,7,1891.03.05- and 1892.02.13,894,40fc41ed-f3f0-41b5-bb07-da9a6af9d52f,"BORDEN, Frederick William",1815,0.5232,Liberal Party of Canada,Physician,Protestant,0,4,,,,,,,,,,Unseated on petition: ó,,,9,9,9,9,9,2,1,1,2,2,9,1,9,1,9,9,9,1,1,1,1,1,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,1,2,9,1,1,9,1,9,1,9,2,1,2,1,1,1,2,1,9,9,9,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,9,1,2,2,2,1,9,1,1,1,9,1,2,1,1,1,1,2,9,2,2,9,1,2,9,9,2,1,1,2,9
263,HALIFAX,Nova Scotia,1867 - ,7,1891.03.05- and 1892.02.11,901,41979d74-9592-4523-b358-f15076676554,"STAIRS, John Fitzgerald",5262,0.2763,Conservative (1867-1942),Merchant,Protestant,0,2,,,,,,,,,,Election declared void: ó,,,1,1,9,1,1,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,9,2,9,2,2,1,9,2,2,2,2,2,2,2,9,9,9,1,2,2,9,9,9,9,9,2,9,2,2,2,2,2,2,1,9,2,1,2,2,2,2,2,9,9,9,2,1,2,2,2,9,9,9,9,9,9,9,2,2,1,2,2,2,2,2,2,1,2,1,1,1,2,1,1,9,1,2,9,1,2
374,LAPRAIRIE,Quebec,1867 - 1892,7,1891.03.05,913,425c9cf9-bcdf-413f-aa04-912100e80719,"PELLETIER, L.C.",970,0.5143,Conservative (1867-1942),Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,1,1,9,1,9,1,9,9,2,1,9,2,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,9,2,1,1,9,2,9,9,2,9,9,1,9,9,9,1,2,2,2,2,2,9,1,9,9,2,2,9,9,2,9,9,2,1,9,9,2,2,2,2,1,1,2,1,2,2,2,1,9,2,2,9,2,9,9,9,9,9,9,9,9,9,2,9,2,9,9,2,1,2,2,2,2,9,9,9,9,9,2,1,1,9,1,2,1,1,9
127,CHAMBLY,Quebec,1867 - 1893,7,1891.03.05,951,44d0a22c-b8bf-4240-9943-1aa2f95274ee,"PREFONTAINE, Raymond",1202,0.5188,Liberal Party of Canada,Lawyer,Fr.Catholic,1,3,,,,,,,,,,,,,2,2,9,9,9,9,1,9,9,9,9,9,9,9,9,9,1,1,9,1,1,9,1,1,9,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,1,9,9,1,9,9,9,9,9,1,9,2,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,9,9
390,LEEDS SOUTH,Ontario,1867 - 1903,7,1891.03.05,989,47b47c19-8fe1-4407-b84f-9029f6aec230,"TAYLOR, George",2294,0.5118,Conservative (1867-1942),Industrialist,Protestant,0,3,,,,,,,,,,,,,1,1,1,1,1,9,2,2,1,1,1,2,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,9,2,2,1,2,9,2,1,1,2,9,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,9,1,1,1,2,2,2,1,2,2,9,2,9,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,9,9,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,9,9,9,2,1,1,2,1,2,1,1,9
238,GLENGARRY,Ontario,1867 - 1914,7,1891.03.05- and 1892.01.14,997,48b8cc78-e084-457c-85a3-4f4bd7557e3f,"MCLENNAN, Roderick R.",1953,0.5448,Conservative (1867-1942),"Banker, railway contractor",Protestant,0,1,,,,,,,,,,Unseated: ó,,,1,1,1,1,1,1,2,2,2,1,9,2,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,9,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,9,1,2,2,9,9,2,2,2,9,9,9,2,2,2,2,2,1,9,9,1,2,2,2,2,2,2,2,9,2,9,2,2,1,2,1,1,1,2,2,9,2,2,1,2,2,2,2,2,2,9,1,1,1,1,2,1,1,2,1,2,9,1,2
677,SHEFFORD,Quebec,1867 - ,7,1891.03.05,1024,4aa106be-0c6e-4932-ab43-d467ef804543,"SANBORN, J.R.",1792,0.526,Liberal Party of Canada,Farmer,Protestant,0,1,,,,,,,,,,,,,2,2,2,2,2,2,1,1,2,2,2,1,9,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,2,9,1,1,1,1,1,9,9,1,1,1,9,1,9,1,2,2,1,2,1,1,9,9,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,1,2,9,9,1,2,2,1,9,1,2,2,2,1,1,1,1,9,9,1,2,1,9,9,9,9,1,2,9,2,1,2,2,1,2,1,1,1,9
551,PONTIAC,Quebec,1867 - 1947,7,1892.06.26-1896.01.20,1031,4bd60fbf-9372-4484-a28b-fadaac44f611,"BRYSON, John",,,Conservative (1867-1942),"Businessman, farmer",Protestant,0,3,,,,,,,,,,Died in office: 1896.01.20,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,9,9,1,1,2,9,2,2,2,2,2,1,9,9,1,2,2,2,2,9,9,9,2,2,9,9,9,2,2,2,1,1,2,1,2,2,2,9,2,2,2,2,2,1,2,1,1,9,9,9,9,2,9,2,9,9,9,2,2,2,9,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99
66,BRANT SOUTH,Ontario,1867 - 1903,7,1891.03.05,1033,4c0343e7-af09-409c-8b15-82597243d468,"PATERSON, William",1963,0.5801,Liberal Party of Canada,Confectioner,Protestant,0,6,,,,,,,,,,,,,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1,9,9,9,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,1,9,1,1,9,9,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,9,9,1,1,1,1,1,9,9,2,1,2,9,9,9,9,9,9,9,9,1,2,1,2,1,1,9,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,1,2,2,1,2,1,9,2,9
582,QUEBEC WEST,Quebec,1867 - 1933,7,1892.02.26-1894.05.17,1046,4cffe0bf-29d1-4560-8c3b-27781d63728b,"HEARN, John",accl.,,Conservative (1867-1942),Real estate agent,Catholic,0,1,,,,,,,,,Ireland,Died in office: 1894.05.17,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,2,1,1,9,2,9,9,2,9,9,2,9,9,9,1,9,2,9,2,2,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
456,MONTMAGNY,Quebec,1867 - 1933,7,1891.03.05,1057,4dce9d20-2749-41b3-a080-b8eac398146e,"CHOQUETTE, P.A.",1172,0.6133,Liberal Party of Canada,Lawyer,Fr.Catholic,1,2,,,,,,,,,,,,,2,2,2,2,9,2,1,1,2,2,9,1,9,1,9,1,1,9,1,1,1,1,1,9,2,2,1,2,2,1,1,2,1,9,1,2,2,9,2,2,9,1,1,1,1,9,9,9,1,1,1,1,1,1,9,2,9,2,1,1,1,2,1,9,9,9,9,1,1,1,1,2,1,1,9,9,9,2,2,1,9,1,2,9,9,1,2,1,2,2,9,9,9,9,9,9,1,1,1,2,1,2,1,1,1,1,2,2,1,9,9,1,2,2,1,2,2,9,1,9
392,LENNOX,Ontario,1867 - 1903,7,1892.02.04,1083,4fa6e520-c225-437f-92e4-2fe6af783ace,"WILSON, Uriah",,,Conservative (1867-1942),Merchant,Protestant,0,2,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,2,1,2,2,2,1,1,2,1,9,2,2,2,2,2,1,1,2,2,2,9,2,9,2,1,1,1,1,9,9,9,2,2,9,2,2,9,2,2,2,2,2,2,1,2,9,1,9,9,2,2,2,2,2,9,2,1,9,9,9,2,2,2,2,2,2,9,2,1,9,2,1,2,2,2,2,9,1,2,9,2,1,2,9,9,1,2,9,1,9
452,MONCK,Ontario,1867 - 1892,7,1891.03.05,1093,507b1f9b-cf26-4e4f-a1af-693c18e7628d,"BROWN, John",1874,0.5373,Liberal Party of Canada,"Miller, mining consultant / prospector",Unknown,0,1,,,,,,,,,,,,,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,9,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
396,LEVIS,Quebec,1867 - 1998,7,1891.03.05,1096,50e36853-c956-48b6-9204-d01bc20b4a0b,"GUAY, P.M.",2075,0.5363,Liberal Party of Canada,"Physician, surgeon",Fr.Catholic,1,3,,,,,,,,,,,,,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,9,1,2,2,1,9,2,9,1,1,1,1,9,9,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,9,1,1,1,1,9,1,2,1,1,1,1,2,2,2,1,9,1,2,1,9,1,9,1,1,2,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,9,9,2,1,2,2,9,9,2,1,1,1
793,WELLAND,Ontario,1867 - 1987,7,1891.03.05,1098,511d8a61-1106-4b86-a494-9cfa7e47f4f6,"GERMAN, Wm. M.",2726,0.5447,Liberal Party of Canada,Barrister,Protestant,0,1,,,,,,,,,,,,,2,9,2,2,2,2,1,1,9,9,2,1,9,1,9,9,9,1,1,1,1,1,1,1,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
313,JACQUES CARTIER,Quebec,1867 - 1952,7,1895.11.30,1124,534b4146-755b-4017-9a59-3fd83800e3c2,"CHARBONNEAU, Napoleon",accl.,,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,1,9,9,1,2,2,9,9,9,9,9,9
501,NORTHUMBERLAND WEST,Ontario,1867 - 1914,7,1892.03.15,1151,54b672a0-5cd7-4ecb-89ba-f60701ad23a8,"GUILLET, George",,,Conservative (1867-1942),Merchant,Protestant,0,4,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,9,2,1,2,9,2,1,1,2,9,1,2,2,2,2,2,9,9,2,2,2,2,2,2,2,1,1,9,1,2,2,9,9,2,9,2,9,9,9,9,2,9,9,9,9,1,2,1,2,2,2,9,9,2,2,2,2,9,2,2,2,9,1,2,1,2,2,9,2,2,9,9,9,2,2,2,2,1,2,2,1,2,2,1,9,9,1,2,1,9,2
55,BOTHWELL,Ontario,1867 - 1903,7,1891.03.05,1153,54d45e0b-418e-487a-ba6a-706204df759b,"MILLS, Hon. D.",2006,0.4409,Liberal Party of Canada,"Lawyer, teacher",Protestant,0,7,,,,,,,,,,,,,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,9,1,1,2,1,1,1,2,2,1,2,9,1,9,9,9,9,1,2,1,1,1,1,1,1,1,2,2,9,2,1,1,1,9,1,1,1,9,9,1,1,1,1,1,1,2,2,1,2,2,2,1,2,1,2,9,1,1,2,1,2,1,9,9,2,1,1,1,1,1,1,2,1,2,1,1,1,9,2,1,1,2,9,1,2,2,9,2,1,1,2,9
582,QUEBEC WEST,Quebec,1867 - 1933,7,1891.03.05- and 1895.04.17,1202,57e3af20-7752-4e88-b4ff-fabf0b0ca03c,"MCGREEVY, Thomas",885,0.5154,Liberal-Conservative,Contractor,Catholic,0,7,,,,,,,,,,Expelled from the House of Commons: ó,,,1,1,9,9,9,1,2,2,2,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2,2,2,2,9,9,9,2,9,9,2,2,9,2,9,2,2,2,2,1,2,9,9,9,2,1,9,9,9,9,9,9,9
207,ELGIN EAST,Ontario,1867 - 1924,7,1891.03.05- and 1892.02.12,1203,57ed8b95-0f38-4d6d-9502-1000823660c3,"INGRAM, Andrew B.",2740,0.5042,Liberal-Conservative,Real estate agent,Protestant,0,1,,,,,,,,,,Election declared void: ó,,,1,1,1,1,1,1,9,2,2,1,1,2,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,9,2,9,9,9,9,2,1,1,9,9,9,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,9,1,2,2,9,9,9,2,2,9,9,2,2,2,2,2,2,9,2,2,1,2,9,2,2,9,2,2,9,2,1,2,2,2,2,1,1,2,9,9,9,9,2,9,2,2,2,2,2,2,1,1,9,9,2,2,1,9,2,1,2,1,9,9
134,CHARLEVOIX,Quebec,1867 - 1914,7,1896.01.27,1207,58113211-2e8a-496f-8a31-2dab947f0155,"ANGERS, Louis-Charles-Alphon",accl.,,Liberal Party of Canada,"Lawyer, teacher",Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,9,9,2,1,2,1,1,2,1,9,9
340,KINGSTON,Ontario,1867 - 1924,7,1891.03.05-1891.06.06 ,1233,59dd9d42-12e0-4d91-af20-4a5de0ea5e12,"MACDONALD, Rt. Hon. Sir John A.",1784,0.5729,Conservative (1867-1942),Lawyer,Protestant,0,7,,1,,,,,,,Scotland,Died in office: 1891.06.06 ,,,9,9,1,1,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
79,BRUCE EAST,Ontario,1882 - 1903,7,1891.03.05,1248,5b231382-9350-440c-ae10-5f8a94c52eda,"TRUAX, Reuben",2045,0.5143,Liberal Party of Canada,Sawmiller,Protestant,0,1,,,,,,,,,,,,,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,1,1,1,9,1,1,1,1,1,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
253,GREY SOUTH,Ontario,1867 - 1914,7,1891.03.05,1250,5b784d04-8c77-412a-b958-2c751b7bd2bf,"LANDERKIN, George",2284,0.5003,Liberal Party of Canada,Physician,Protestant,0,5,,,,,,,,,,,,,2,2,2,2,2,2,1,1,2,2,9,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,9,9,1,1,1,2,2,1,2,2,9,1,1,1,1,1,2,1,1,1,9,1,9,1,2,2,1,2,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,2,2,1,2,9,2,1,2,9,9,9,9,1,2,1,1,1,1,2,9,9,1,1,1,1,1,9,1,1,1,1,1,1,9,9,1,9,2,1,2,2,1,2,1,9,2,9
364,LAMBTON WEST,Ontario,1882 - 1966,7,1891.03.05,1251,5b820118-a127-4673-816f-c89a4e166132,"LISTER, Jas. F.",2364,0.5724,Liberal Party of Canada,Lawyer,Protestant,0,3,,,,,,,,,,,,,2,2,2,2,2,2,1,1,2,2,9,9,1,1,9,9,1,1,1,1,1,1,9,9,9,9,9,9,2,1,1,2,1,1,1,2,2,1,2,1,9,1,1,1,1,1,9,1,9,9,1,9,1,1,2,2,9,2,1,9,9,9,9,9,9,9,9,1,1,1,1,1,1,2,2,1,9,9,9,9,9,9,9,9,9,1,2,9,1,9,9,9,9,9,9,9,9,1,1,2,1,1,1,1,1,1,2,1,9,2,2,1,2,2,1,9,9,9,9,9
797,WELLINGTON SOUTH,Ontario,1867 - 1966,7,1891.03.05,1253,5bb449ac-03e9-4094-8d26-53228424c1b8,"INNES, James",2510,0.5405,Liberal Party of Canada,"Journalist, newspaper editor, newspaper publisher, teacher",Protestant,0,3,,,,,,,,,Scotland,,,,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,9,9,1,1,1,2,2,9,9,1,1,1,9,9,1,9,9,1,1,1,9,1,9,1,9,2,9,2,9,9,9,2,1,1,1,9,9,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,9,9,9,1,2,1,2,1,1,2,2,2,1,1,1,1,9,2,1,2,1,1,1,1,9,1,2,1,2,1,2,2,1,2,1,2,9,9
259,HALDIMAND,Ontario,1867 - 1892,7,1891.03.05-1895.03.25 and 1895.04.17,1259,5c3e28ae-1e3c-4d71-85b7-908ab98713a1,"MONTAGUE, Walter Humphries",1896,0.5105,Conservative (1867-1942),Physician,Protestant,0,2,,1,,,,,,,,Resignation. Appointed Secretary of State of Canada: 1895.03.25,,,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,2,2,2,9,2,2,2,2,2,1,2,2,1,9,2,9,9,9,9,2,1,1,9,9,9,2,2,2,2,2,1,9,2,2,2,2,2,2,2,9,1,1,9,2,2,2,1,2,2,9,2,9,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,9,9,2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,9,2,9,9,9,9,9,9,9,9,9,9,9,2
